DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS XI-COMMERCE ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HISTORY ,,,POLITICAL SCIENCE ,,,ECONOMICS ,,,INFORMATICS PRACTICES,,,PHYSICAL EDUCATION ,,
,4,"The Enemy, Artical Writing",EXPLANATION AND DISCUSSION ,"""Students will understand the conflict between duty to one’s country and duty to humanity.

Explore how moral courage can often challenge nationalistic loyalty, especially during wartime.

""",An Empirial City,Debate,Analyze the layout of the imperial city of Hampi.,Challenges to and Restoration of the Congress System,Debate,Analyse the process of restoration of the Congress system,Macreeconomics Ch Methods of National Income ,Explanation and discussion,Expenditure Method of NI ,SQL Date Functions,"Use NOW(), DATE(), YEAR()",Handle dates in SQL,,,
,5,The Interview,EXPLANATION AND DISCUSSION ,"Appreciate the importance of leadership, courage, and standing up for justice.","Peasants, Zamindar and The State",Panel Discussion,Discuss developments in agarian relations.,SECURITY IN THE CONTEMPORARY WORLD,GROUP DISCUSSION,"ANALYZE VARIOUS GLOBAL INSTITUTIONS, PROCESSES AND EVENTS SHAPING THEIR LIVES.",Macreeconomics Ch Methods of National Income ,Explanation and discussion,Income & Value Added Method of NI ,Group by & Aggregate Functions,"Use SUM(), AVG(), COUNT()",Summarize data in SQL,,,
"AUGUST 2025 
(23 DAYS)",1,Going Places,EXPLANATION AND DISCUSSION ,"able to identify the theme of teenage aspirations, ambitions, and the gap between fantasy and reality.Comprehend key themes such as adolescence, class difference, imagination vs reality, and unfulfilled dreams.","Peasants, Zamindar and The State","Worksheet, Map Work",Understand how zamindars acted as intermediaries between peasants and the state.,ENVIRONMENT AND NATURAL RESOURCES,GROUP DISCUSSION,CREATE A PERSONAL INVENTORY OF CONSUMPTION OF NATURAL RESOURCES.,Macreeconomics Ch AD and AS ,Explanation and discussion,AD and AS Schedule and Diagram ,"GROUP BY, HAVING",Query with GROUP BY,Group and filter records,,,
,2,On the Face of It Memories of Childhood,EXPLANATION AND DISCUSSION ,"""nderstanding of Prejudice and Acceptance:
Students will understand how people with physical disabilities often face social isolation and prejudices, and how empathy and open-mindedness can break these barriers.
Learners will analyze the contrasting personalities of Derry (a shy, withdrawn boy with a burnt face) and Mr. Lamb (an optimistic elderly man with a prosthetic leg), exploring how their interaction transforms Derry’s perspective on life.""","Peasants, Zamindar and The State",Presentation,Examine forms of peasant resistance and their interactions with the state,ENVIRONMENT AND NATURAL RESOURCES,,Enlist and explain the facts related to global environmental issues,Macreeconomics Ch AD and AS ,Explanation and discussion,Numericals on AD and AS ,ORDER BY & Joins,Sort and join tables,Combine data from multiple tables,,,
,3,The Cutting of My Long Hair,EXPLANATION AND DISCUSSION ,"""Understanding Cultural Identity and Loss

Students will understand how forced assimilation affects one's cultural identity, especially in the context of Native American history.

Empathy and Social Awareness
""",Colonialism and Countryside,Role Play,"Discuss how colonialism affected zamindars, peasants and artisans.",GLOBALISATION,DEBATE/PROJECT,DESCIBE HOW GLOBALISATION INFLUENCE GOVERNMENT POLICY.,Macreeconomics Ch Short Run Equilibrium Output ,Explanation and discussion,Condition of Equilibrium ,Practical SQL,Lab work on SQL queries,Implement SQL commands,,,
,4,We Too are Human Beings,EXPLANATION AND DISCUSSION ,"""Understanding Cultural Identity and Loss

Students will understand how forced assimilation affects one's cultural identity, especially in the context of Native American history.

Empathy and Social Awareness
""",Colonialism and Countryside,Worksheet,Know about the settlements specially in West Bengal.,GLOBALISATION,DEBATE/PROJECT,Critically evaluate the impact of globalisation on India.,Macreeconomics Ch Short Run Equilibrium Output ,Explanation and discussion,Concept of Investment Multiplier,Introduction to Networks,"PAN, LAN, MAN, WAN",Understand network types,,,
,5,REVISION,,,Rebels and the Raj,Panel Discussion,Know about the events of 1857. ,EXAM,,LIST MEMBERS OF THE UNITED NATIONS.,Macreeconomics Ch Ex. Demand and Deficient Demand ,Explanation and discussion,Fiscal policy of the Government ,Network Devices,"Study router, modem, etc.",Identify network components,,,
"SEPTEMBER 2025
(21 DAYS)",1,REVISION,,,Rebels and the Raj,"Map Work, Drama",Develope the sense of patriotism.,EXAM,,,Indian Economics Ch Human Capital Formation ,Explanation and discussion,"Sources of Human capital: Education, Health, Training..",Network Topologies,Draw and compare topologies,Analyze network structures,,,
,2,REVISION,,,Mahatama Gandhi,Role Play,Interpret Gandhi's methods & contribution to Indian independence,Revision for Term-1 Examination ,,,Indian Economics Ch Employment ,Explanation and discussion,Types of Unemployment in India ,Internet and Web,"Understand URL, VoIP",Identify internet applications,,,
,3,REVISION,,,Mahatama Gandhi,Skit or Speech: Gandhi's philosophy of non-violence,Know how Gandhi was perceived by different groups and historians.,Term -1 Examination,,,Indian Economics Ch Rural Development ,Explanation and discussion,"Strategies to develop the rural, Allied activities ",Website vs Webpage,Study static vs dynamic sites,Differentiate web components,,,
,4,REVISION,,,Framing the Constitution,"Debate, Presentation",Familiarise the learners with the history of the early years after independence.,Term -1 Examination,,,Indian Economics Ch Rural Development ,Explanation and discussion,"Operation Flood, Horticulture, Fishing, Poultry..",Web Browsers,Explore settings and plugins,Configure browser features,,,
,5,REVISION,,,REVISION,REVISION,REVISION,Term -1 Examination,,,Indian Economics Ch Sustainable Development ,Explanation and discussion,"SDGs Goals, Global Warming, Ozone depletion, Organic Farming..",Societal Impacts: Intro,Discuss digital footprint,Awareness on digital impact,,,
"OCTOBER 2025 
(19 DAYS)",1,REVISION,,,Term -1 Examination,Term -1 Examination,Term -1 Examination,CRISIS OF THE DEMOCRATIC ORDER,GROUP DISCUSSION/DEBATE,UNDERSTAND MAIN ATTRIBUTES OF PARTY SYSTEM AND POLITICAL PARTIES IN INDIA.,Macreeconomics Ch Government Budget ,Explanation and discussion,Objective and Components of the Government Budget ,IPR & Plagiarism,Discuss copyrights and licensing,Respect digital rights,,,
,2,REVISION,,,Term -1 Examination,Term -1 Examination,Term -1 Examination,CRISIS OF THE DEMOCRATIC ORDER,GROUP DISCUSSION/DEBATE,UNDERSTAND MAIN ATTRIBUTES OF PARTY SYSTEM AND POLITICAL PARTIES IN INDIA.,Macreeconomics Ch Government Budget ,Explanation and discussion,Revenue and Capital Expenditure and Receipts,Cybercrime and Laws,"Phishing, hacking, IT Act",Understand cyber laws,,,
,3,PRE-BOARD,,,Term -1 Examination,Term -1 Examination,Term -1 Examination,REGIONAL ASPIRATIONS,,Discuss the implications of regional demands.,Macreeconomics Ch Balance of payment ,Explanation and discussion,Components of BOP _ Current & Capital Account ,E-waste Management,Hazards and recycling,Practice eco-friendly disposal,,,
,4,PRE-BOARD,,,DIWALI VACATION,DIWALI VACATION,DIWALI VACATION,REGIONAL ASPIRATIONS,REPORT/PRESENTATION,ENCOURAGE THE STUDENTS TO UNDERSTAND AND ANALYSE THE CHALLENGES FOR CONTEMPORARY INDIA.,Macreeconomics Ch Balance of payment ,Explanation and discussion,Equilibrium and Disequilibrium of BOP,Health and Tech,"Discuss screen time, posture",Be aware of tech health impact,,,
,5,REVISION,,,DIWALI VACATION,DIWALI VACATION,DIWALI VACATION,RECENT DEVELOPMENTS IN INDIAN POLITICS,REPORT/PRESENTATION,ABLE TO LEARN KEY CONCEPTS NEEDED TO UNDERSTAND THE POLITICAL PHENOMENON.,Macreeconomics Ch Foreign Exchange Rate ,Explanation and discussion,Methods Of Determination of Foreign Ex. Rate,Project Planning,Choose project topic,Initiate real-world IT project,,,
"NOVEMBER 2025 
(24 DAYS)",1,REVISION,,,REVISION,WORKSHEET/SQP,,RECENT DEVELOPMENTS IN INDIAN POLITICS,PROJECT/ROLEPLAY,Trace the rise and growth of BJP.,,,,Project Development,Develop using Python/SQL,Build IT application,,,
,2,REVISION,,,REVISION,ASSIGNMENT/WORKSHEET,,,,,,,,Project Development,Continue project work,Apply concepts learned,,,
,3,REVISION,,,REVISION,SAMPLE PAPER,,,,,,,,Project Refinement,Debug and finalize,Polish IT solution,,,
,4,REVISION,,,REVISION,WORKSHEET/SQP,,REVISION,WORKSHEET/SQP,,,,,Practical File Completion,"Complete 15 Pandas, 15 SQL tasks",Prepare for assessment,,,
,5,REVISION,,,REVISION,SAMPLE PAPER,,REVISION,ASSIGNMENT/WORKSHEET,,,,,Internal Viva Practice,Mock viva sessions,Prepare for final viva,,,
"DECEMBER 2025
(21 DAYS)",1,,,,REVISION,PRACTICE PAPER,,REVISION,SAMPLE PAPER,,,,,Revision: Pandas & Plots,"Revise Series, DataFrame, plots",Reinforce learning,,,
,2,,,,REVISION,,,REVISION,WORKSHEET/SQP,,,,,Revision: SQL,Revise SQL queries,Consolidate query skills,,,
,3,,,,PRE-BOARD,,,PRE-BOARD,SAMPLE PAPER,,,,,Revision: Networking,Review networks & security,Summarize connectivity topics,,,
,4,,,,PRE-BOARD,,,PRE-BOARD,PRACTICE PAPER,,,,,Revision: Societal Impacts,Discuss tech & society,Be tech aware,,,
,5,,,,Winter Vacation,,,PRE-BOARD,,,,,,Pre-Board Practice,Sample paper solving,Exam readiness,,,
"JANUARY 2026
 (14 DAYS)",1,,,,Winter Vacation,,,,,,,,,REVISION FOR ANNUAL EXAM,,,,,
,2,,,,Board Practical,,,,,,,,,REVISION FOR ANNUAL EXAM,,,,,
,3,,,,Board Practical,,,,,,,,,REVISION FOR ANNUAL EXAM,,,,,
,4,,,,Board Practical,,,,,,,,,REVISION FOR ANNUAL EXAM,,,,,
,5,,,,Board Exam,,,,,,,,,REVISION FOR ANNUAL EXAM,,,,,
"FEBRUARY 2026
 (24 DAYS)",1,,,,Board Exam,,,,,,,,,ANNUAL EXAM,,,,,
,2,,,,Board Exam,,,,,,,,,ANNUAL EXAM,,,,,
,3,,,,Board Exam,,,,,,,,,ANNUAL EXAM,,,,,
,4,,,,Board Exam,,,,,,,,,ANNUAL EXAM,,,,,
"MARCH 2026
 (23 DAYS)",1,,,,,,,,,,,,,ANNUAL EXAM,,,,,
,2,,,,,,,,,,,,,ANNUAL EXAM,,,,,
,3,,,,,,,,,,,,,ANNUAL EXAM,,,,,
,4,,,,,,,,,,,,,ANNUAL EXAM,,,,,
,5,,,,,,,,,,,,,ANNUAL EXAM,,,,,
