DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS I A II CADEMIC YEAR -2025-26,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,EVS,,
,4,Revision of Chapter 2 Greetings Gr.Ch.3Special Names,"sing poem with action,gr. Students will able to know speical names","Students will be able to sing poem with action,knowledge of special names","व्याकरण पाठ 4 शब्द, पाठ -4 रानी भी","शब्द वाचन, पाठ वाचन","शब्द भंडार में वृद्धि , वाचन कौशल में वृद्धि। ",Chapter 3 Mangi treat ( Number 1 to 9,Story of mango,They will be able to learn story,ch -4 CLOTHES WE WEAR,draw and colour two dress ,IMPORTANCE of clothes 
,5,Revision of Chapter 2 Greetings Gr.Ch.3Special Names,"sing poem with action,gr. Students will able to know speical names",Students will be able to sing poem with action,"व्याकरण पाठ 4 शब्द, पाठ -4 रानी भी","शब्द वाचन, शब्दों के साथ चित्रों को जोड़ना। ","शब्द भंडार में वृद्धि, छात्र चित्रों की पहचान व शब्दावली में वृद्धि करेंगे। ",Chapter 3 Mangi treat ( Number 1 to 9,Concept of more and less,They will be able to know the concept of more and less,ch -4 CLOTHES WE WEAR,Name of traditional dress,"different types of clothes  , wear according to season "
"JULY 2025 
(27 DAYS)",1,"My family , gr.Ch. 4 one and many","poem of my family , explanation of this topic","Students will be able to learn poem of my family, gr -students will able to know singular and plural ",व्याकरण पाठ 5 वाक्य,वाक्य निर्माण,विद्यार्थी शब्दों से वाक्य निर्माण करना सीखेंगे,Chapter 3 Mangi treat ( Number 1 to 9,Greater and less,They will be able to know the concept of greater and less,ch-5 FOOD WE EAT,different types of food,role of food in our life
,2,"The sparrow family , gr.Ch.5 He and She","take care of birds,importance of family , gr - Role play of He and She group","Students will be able to learn poem of The sparrow family , gr - students will able to identify group of He,She","व्याकरण पाठ 5 वाक्य,पाठ- 5 मिठाई","वाक्य निर्माण, अपनी मनपसंद मिठाई के विषय में तीन -चार वाक्य बताना",विद्यार्थी शब्दों से वाक्य निर्माण करना सीखेंगे,Chapter 4 Making 10 (Number 10 to 20),Concept of tens and ones,They will be able to know the concept of tens and ones,ch-5 FOOD WE EAT,picture of balanced diet ,"balance diet,"
,3,"The sparrow family , gr.Ch.5 He and She",Story of sparrow family ,Students will be able to learn poem of The sparrow family ,"व्याकरण पाठ 6 संज्ञा, मिठाई","फलों, सब्ज़ियों, सप्ताह के दिनों एवं महीनों के नामों से खेल-खेल में परिचित करवाना।",विद्यार्थी यह जानेंगे कि सबका नाम ही संज्ञा होता है। वाक्य रचना का बोध होना। ,Chapter 4 Making 10 (Number 10 to 20),draw bundles,They will be able to draw bundles,ch-6 SAFETY RULES ,draw and colour picture of traffic light,importance of to follow safety rules 
,4,"The sparrow family ,gr.Ch.6 Describing Words ","write the words begins with f,m,t and s,grdescribing colour ,Shapes,size ,number","Students will be able to write the words using different sound,knowledge of describing words","व्याकरण पाठ 6 संज्ञा,  पाठ- 6  तीन साथी",कक्षा की प्रत्येक वस्तु से प्रश्नात्मक रूप से परिचित करवाना।पाठ वचन। ,"संज्ञा में सजीव और निर्जीव सभी प्रकार के शब्द आते हैं, यह भी जानेंगे।",Chapter 5 Addition and subration of single digit number,count and add,Students will be able to solve addition and subtraction,ch-6 SAFETY RULES ,zebra crossing ,to avoid accidents
,5,"Letter sound, gr. Ch.6 Describing words","Sing a song of letter sound and try to write words , gr .describing colour,shape,size","Students will be able to write the words using different sound, gr- students will easily identify describing words","व्याकरण पाठ 6 संज्ञा, तीन साथी",घर की वस्तुओं के बारे में पूछना एवं बताना।,"संज्ञा में सजीव और निर्जीव सभी प्रकार के शब्द आते हैं, यह भी जानेंगे।एक दूसरे के प्रति सहायता करने का स्वभाव विकसित होना। ",Chapter 5 Addition and subration of single digit number,count and add,Students will be able to solve addition and subtraction,REVISION ,,
"AUGUST 2025 
(23 DAYS)",1,"(Unit 2) Chapter 1 Picture time ,Gr.Ch.7 A,An ,The","Identify things with the help of picture,gr usage of a ,an,the",Students will able to know about articles ,"व्याकरण पाठ -6,7 एक अनेक (वचन), वाह, मेरे घोड़े",विभिन्न वस्तुओं द्वारा अनेक से एक और एक से अनेक बनाना। घ और ड़ की ध्वनि वाले शब्दों को लिखना। ,"स्त्री और पुरुष, एक और अनेक की पहचान बढ़ाना",Chapter 5 Addition and subration of single digit number,count and add,knowledge of addition and subtraction,ch-7 MY FAMILY ,draw a picture of family tree,different members of family 
,2,"Fun with number ,five little monkey , Gr.Ch.7 A,An ,The","Learn poem, gr - explanation ","Students will be able to learn poem, gr - students will able to know the articles ","व्याकरण पाठ 6,7 एक अनेक (वचन), वाह, मेरे घोड़े","एक से अधिक की पहचान, वाचन। ",विद्यार्थी एक से अनेक और अनेक से एक बनाना सीखेंगे।घोड़े के विषय में जानकारी बढना। ,Chapter 6 Vegetable farm( Addition and Subtraction),Story sums,Students will be able to do story sums,ch-7 MY FAMILY ,tell two hobbies of your grand parents ,importance of family 
,3,"Fun with number ,five little monkey , gr - Ch.8 This ,That,These,Those","Learn poem, gr - role play","Students will be able to learn poem, gr- students will able to know  use of this,that,these,those","व्याकरण पाठ 6,7 एक अनेक (वचन),  पाठ- 7 वाह मेरे घोड़े","एक से अधिक की पहचान, पाठ वाचन। ",विद्यार्थी एक से अनेक और अनेक से एक बनाना सीखेंगे। जहरीले जानवरों से बचना सीखेंगे। ,Chapter 6 Vegetable farm( Addition and Subtraction),Story sums,Students will be able to do story sums,ch -8 WE NEED SHELTER ,draw the picture of house,importance of home
,4,"Chapter 2 The cap -seller and the Monkey ,gr -Ch.8 This ,That,These,Those","Role play , gr book exercises and explanation of the topic","Students will be able to learn the story of cap seller, gr - students will able to know use of this,that,these,those","व्याकरण पाठ 8 लिंग, पाठ 8 खतरे में सांप",लिंग के आधार पर शब्दों का वर्गीकरण करवाना।,"लिंग परिवर्तन सीखेंगे। छात्र साहस ,धैर्य और समस्या समाधान के कौशल को समझेंगे। ",Chapter 6 Vegetable farm( Addition and Subtraction),Story sums,Students will be able to do story sums,ch -8 WE NEED SHELTER ,match animals with their homes,feeling safe and relax
,5,"Chapter 2 The cap -seller and the Monkey ,Gr Ch.9 I,You,He,She,It","story ,gr book exercises and explanation of the topic",Students will be able to learn the story of cap seller,व्याकरण पाठ 8 लिंग,पारिवारिक संबंधों के आधार पर 'लिंग' शब्द समझाना। पाठ वाचन, विद्यार्थी स्त्रीलिंग एवं पुल्लिग शब्दों की पहचान करना जानेंगे,Chapter 7Lina's family,Story,Know story of Lina'family,revision ,,
"SEPTEMBER 2025
(21 DAYS)",1,"Chapter 2 The cap -seller and the Monkey , gr - Ch.10 We,You,They",gr- book exercises,"Students will be able to learn story on monkey ,gr-student will able to identify pronouns and when we use them","व्याकरण पाठ 9 सर्वनाम, पाठ 9 आलू की सड़क",सामूहिक क्रिया-कलाप करवाना। आलू का चित्र बनाकर रंग भरना। ,विद्यार्थी यह जानेंगे कि संज्ञा के स्थान पर किन शब्दों को और कैसे प्रयुक्त किया जाता है। सावधानीपूर्वक कार्य को अंजाम देना। ,Chapter 7Lina's family,Concept of long and short,Know the concept of long and short,ch -9 OUR NEIGHBORHOOD ,make a list of your neighbours,importance of neighbourhood 
,2,"catch me if you can, gr - Ch.10 We,You,They","Role play, gr -book exercises",Students will be able to know the moral of story and identify the different pronouns  ,"व्याकरण पाठ 9 सर्वनाम,   पाठ- 10 झुलम- झूली",सामूहिक क्रिया-कलाप करवाना। कविता गायन। ,विद्यार्थी यह जानेंगे कि संज्ञा के स्थान पर किन शब्दों को और कैसे प्रयुक्त किया जाता है।,Chapter 7Lina's family,Concept of fat and thin,Know the concept of fat and thin,ch -9 OUR NEIGHBORHOOD ,name the neighborhood building ,keep clean and safe neighborhood 
,3,"catch me if you can, gr- Ch.11 Doing words","Story, gr - book exercises explanation of the topic ",Students will be able to enhance their reading and writing skills  gr - student will able to knowledge of action words,"व्याकरण पाठ 9 सर्वनाम,   पाठ- 10 झुलम- झूली",सामूहिक क्रिया-कलाप करवाना। झूलों पर चर्चा। ,विद्यार्थी यह जानेंगे कि संज्ञा के स्थान पर किन शब्दों को और कैसे प्रयुक्त किया जाता है। गायन कौशल और शब्द भंडार में वृद्धि। ,Revision for Half Yearly Exam ,Preparation for Half Yearly Exam,Preparation for Half Yearly Exam,LET'S REVISE 1,,
,4,REVISION ,REVISION ,REVISION ,पुनरावत्ति अर्धवार्षिक परीक्षा ,दौरान कार्य,ज्ञान में वृद्धि होना,Revision for Half Yearly Exam ,Preparation for Half Yearly Exam,Preparation for Half Yearly Exam,REVISION ,,
,5,REVISION ,REVISION ,REVISION ,पुनरावत्ति अर्धवार्षिक परीक्षा ,दौरान कार्य,ज्ञान में वृद्धि होना,Half-Yeary Exam,Half-Yeary Exam,Half-Yeary Exam,REVISION ,,
"OCTOBER 2025 
(19 DAYS)",1,TERM 1 Exam,TERM 1 Exam,TERM 1 Exam,पुनरावत्ति अर्धवार्षिक परीक्षा ,दौरान कार्य,ज्ञान में वृद्धि होना,Half-Yeary Exam,Half-Yeary Exam,Half-Yeary Exam,term 1 exam,,
,2,TERM 1 Exam,TERM 1 Exam,TERM 1 Exam,अर्धवार्षिक परीक्षा ,-------/--/----,अर्धवार्षिक परीक्षा ,Half-Yeary Exam,Half-Yeary Exam,Half-Yeary Exam,TERM 1 Exam,,
,3,"Chapter. 3 A farm gr. Ch.12 Is,are, am","knowledge of farm, gr- book exercises ","Students will enhance their reading and writing skills ,gr - student will able to know the action words","व्याकरण पाठ 10 विशेषण, पाठ- 11 भुट्टे","परिवार के सदस्यों के लिए विशेषण शब्दों का प्रयोग करवाना, कहानी कथन। ","विशेषण शब्द सजीव एवं निर्जीव दोनों शब्दों के साथ प्रयुक्त होते हैं, यह समझेंगे। वाचन कौशल में वृद्धि",Chapter 8 Fun with numbers(Numbers21 to 99),"Concept of tens and ones,number number names ,addition and subtraction ",Students will be able to solve addition and subtraction ,ch -10 MY SCHOOL ,draw the picture of your school ,knowledge of temple 
,4,"Animals  and birds,, gr - Ch.12 Is,are, am","knowledge of animals and birds , gr  - explanation, book exercises","take care of animals and birds, gr - they will learn use of is,am are",व्याकरण पाठ 11क्रिया,"विद्यार्थी कौन-कौन सी क्रियाएँ स्वयं करते हैं, उनकी सूची बनवाना।",विद्यार्थी यह जानेंगे कि कुछ कार्य किए जाते हैं और कुछ अपने-आप होते हैं। ये दोनों ही क्रिया शब्द कहलाते हैं।,Chapter 8 Fun with numbers(Numbers21 to 99),"Concept of tend and ones,number number names ,addition and subtraction ",Students will be able to solve addition and subtraction ,ch -10 MY SCHOOL ,make a list of your class room article ,role in our life
,5,"( Unit 3 )Chapter 1 Fun with pictureCh.13 Is ,are,am+ing","Role play and put up question,gr book exercises and explanation of the topic",Students will able to enhance their speaking skills,व्याकरण पाठ 12 विलोम शब्द,छोटे-छोटे शब्द विद्यार्थियों को देना और उनके उल्टे शब्द प्रश्नोत्तरी के रूप में पूछना।,विद्यार्थी यह समझेंगे कि प्रत्येक शब्द का कोई-न-कोई उल्टा अर्थ भी होता है।,Chapter 9 Utsav (Pattern),Complete the pattern,Students will be able to complete the pattern ,ch -11 PEOPLE WHO HELP US,write the colour of dress of police and doctor ,people important in our life
"NOVEMBER 2025 
(24 DAYS)",1,"Fruits for all Gr.Ch.14 Has,Have","poem , use of has ,have",Students will enhance their learning skills and able to know the position ,"व्याकरण पाठ 13 पर्यायवाची शब्द,पाठ- 12  फूली रोटी","समानार्थी शब्द, मां के रोटी बनाने के तरीके को अपने शब्दों में बताना ","विद्यार्थी यह समझेंगे कि कई बार शब्द तो अलग-अलग होते हैं परंतु उनका अर्थ एक ही होता है, रोटी की आकृति और स्वाद की पहचान। ",Chapter 9 Utsav (Pattern),Complete the pattern,Students will be able to complete the pattern ,ch -11 PEOPLE WHO HELP US,tell the name of seven our helpers and their work,respect them and their work
,2,"A Visit to the market, gr - ch.15 position words","Shopping , gr - book exercises","Knowledge of shopping , gr - student will able to learn composition ",व्याकरण पाठ 13 पर्यायवाची शब्द,समानार्थी शब्द,विद्यार्थी यह समझेंगे कि कई बार शब्द तो अलग-अलग होते हैं परंतु उनका अर्थ एक ही होता है,Chapter 9 Utsav (Pattern),Complete the pattern,Students will be able to complete the pattern ,ch -12 FESTIVALS WE CELEBRATE ,list of festivals,"for enjoyment, family get together ,to know about our culture "
,3,"Chapter 2 The food we eat,Gr.Ch.16 Sentences ","five line about their favourite fruit,gr.frame sentences","Students will able to speak small sentences,  know health and junk food",व्याकरण पाठ 14 गिनती,विद्यार्थी यह समझेंगे कि हिंदी भाषा में गिनती को लिखने का रूप भिन्न होता है।,विद्यार्थी यह समझेंगे कि हिंदी भाषा में गिनती को लिखने का रूप भिन्न होता है।,Chapter 10 How do I spend my day ( time),"lmportance of time,knowledge of season",Students will able to understand the importance of time and knowledge of season,ch -12 FESTIVALS WE CELEBRATE ,what do you do on the festivals ,"for enjoyment, family get together ,to know about our culture "
,4,"Chapter 2 The food we eat, Gr.Ch.17 Punctuation ","Book exercise,use of capital letters,full stop,question mark","Students will able to speak small sentences,  know health and junk food",व्याकरण पाठ 14 गिनती पाठ-13 मेला,विद्यार्थी यह समझेंगे कि हिंदी भाषा में गिनती को लिखने का रूप भिन्न होता है।,शब्दों व गणना में गिनती को लयबद्ध रूप में जानेंगे।,Chapter 10 How do I spend my day ( time),"lmportance of time,knowledge of season",Students will able to understand the importance of time and knowledge of season,ch -13 TRAVELING IS FUN,draw a picture of car and colour it,role of transport in our life
,5,"Chapter 2 The food we eat, Gr.Ch.17 Punctuation ","Book exercise,use of capital letters,full stop,question mark","Students will be to know healthy and junk food,gr.They able to know some Punctuation",व्याकरण पाठ 14 गिनती,हिंदी अंकों में लिखने का अभ्यास करवाने हेतु विशेष प्रकार से,विद्यार्थी यह समझेंगे कि हिंदी भाषा में गिनती को लिखने का रूप भिन्न होता है,Chapter11 How many times (Multiplication),Multiple and tables,Students will be able to solve sums and learn tables,ch -13 TRAVELING IS FUN,list of two capitals of states ,use it wisely 
"DECEMBER 2025
(21 DAYS)",1,(Unit 4 )Chapter 1 The four Seasons Gr.Ch.18 Vocabulary,"Knowledge of season,Gr.Rhyming words","Knowledge of season,enhance their vocabulary ","व्याकरण पाठ 15 विषय-लेखन , ",एक ही विषय पर विचारों का आदान-प्रदान करवाना। मिले पर चर्चा,"एक ही विषय के बारे में संवादरूप में विचार करना सीखेंगे, मेले की मौज मस्ती को महसूस करना। कहानी वाचन",Chapter11 How many times (Multiplication),Multiple and tables,Students will be able to solve sums and learn tables,ch -14 THE WORLD OF PLANTS,draw a plant and colour it,important role of plants
,2,"Gr - Ch.19 reading comprehension,(Unit 4 )Chapter 1 The four Seasons","gr- pucture identification, answering questions, book exercises ","students will increase their reading skills, knowledge of season ","व्याकरण पाठ 15 विषय-लेखन, पाठ - 14 बरखा और मेघा",पंक्तिबद्ध रूप से विचारों को लिखवाना। कहानी वचन,"एक ही विषय के बारे में संवादरूप में विचार करना सीखेंगे,समस्या समाधानी बनना। ",Chapter12 How much can we Spend?(Money),Knowledge of Coins and notes,Students will be able to identify coins and notes,ch -14 THE WORLD OF PLANTS,tell the things that plants give us,"grow plants,save plants"
,3,Gr -Ch.20 Completing sentences Ch.21 picture composition,gr- book exercises and explanation,Students will recognize and enhance their writing skills," होली, पाठ-15, विलोम शब्द",विलोम शब्द लिखना,श्रवण वाचन लेखन कौशलों का विकास,Chapter12 How much can we Spend?(Money),Draw coins and notes,Students will be able to draw coun and notes,ch -15 the world of ANIMALS ,list of pet animals ,important role of animals 
,4,Winter Vacation ,Winter Vacation ,Winter Vacation ,"कविता गायन, होली, पाठ-15,",प्रत्येक विद्यार्थी को कविता गाकर सुनाना,मौखिक अभिव्यक्ति में वृद्धि,Winter Vacation ,Winter Vacation ,Winter Vacation ,ch -15 the world of ANIMALS ,name the things that animal give us,take care of them
,5,Winter Vacation ,Winter Vacation ,Winter Vacation ,शीतकालीन अवकाश,         ----------,----------,Winter Vacation ,Winter Vacation ,Winter Vacation ,Winter Vacation ,,
"JANUARY 2026
 (14 DAYS)",1,Winter Vacation ,Winter Vacation ,Winter Vacation ,शीतकालीन अवकाश,----------,----------,Winter Vacation ,Winter Vacation ,Winter Vacation ,Winter Vacation ,,
,2,Winter Vacation ,Winter Vacation ,Winter Vacation ,शीतकालीन अवकाश,----------,----------,Winter Vacation ,Winter Vacation ,Winter Vacation ,ch -16 water and air,save water don't pollute air,importance of pure water and air in our life
,3,Winter Vacation ,Winter Vacation ,Winter Vacation ,Winter Vacation ,पेड़ों पर कोई पांच वाक्य सुनना व चित्र बनाना,मौखिक श्रवण कौशल का विकास,Winter Vacation ,Winter Vacation ,Winter Vacation ,ch -17 WEATHER ,plan your visit ,different types of weather 
,4,"Unit 4 Chapter 2 Anandi's Rainbow,Gr.ch22 Paragraph Writing","Draw and colour picture of rain,completing a paragraph","Students will able to know complete sentences, knowledge of rainbow colour","पीठ-16-जन्मदिन पर पेड़ लगाओ। व्याकरण पाठ 16 कविता पाठ ,  ","विद्यार्थी यह जानेंगे कि मन के भावों को लयबद्ध रूप में प्रकट करने का साधन कविता, कविता गायन। ",विद्यार्थी यह जानेंगे कि मन के भावों को लयबद्ध रूप में प्रकट करने का साधन कविता भी है। ,Chapter13 So many toys (Data handling),Use of more and less,knowledge of more and less,ch-17 WEATHER ,help to reduce risk ,"choose food , clothes according to weather "
,5,"Gr- Ch23 invitation,",explanation of the topics and book exercises,"Students will able to know the meaning of invitation, invite to someone","पाठ- 17 हवा, व्याकरण पाठ 16 कविता पाठ",स्मरणशक्ति का विकास होगा। दिए गए शब्दों पर चित्र बनाना। ,"विद्यार्थी यह जानेंगे कि मन के भावों को लयबद्ध रूप में प्रकट करने का साधन, चित्रकला में रूचि बढ़ाना। ",Chapter13 So many toys (Data handling),Use of more and less,knowledge of more and less,revision ,,
"FEBRUARY 2026
 (24 DAYS)",1,Unit 4 Chapter 2 Anandi's Rainbow   Gr Ch.24 Thank-you Note,"Knowledge of rainbow ,Gr.completing a thank-you note","Knowledge of rainbow ,Gr.completing a thank-you note","पाठ-18  कितनी प्यारी है ये दुनिया, व्याकरण पाठ 16 कविता पाठ",स्मरणशक्ति का विकास होगा। कविता गायन,"विद्यार्थी यह जानेंगे कि मन के भावों को लयबद्ध रूप में प्रकट करने का साधन, प्रकृति के सौंदर्य को महसूस करना। ",Puzzles,"complete the pattern, solve puzzle",They will be able to complete the pattern and solve puzzles ,ch -18 in the Sky,draw and colour picture of sun,"know about sun ,moon ,star,"
,2,"Unit 4 Chapter 2Anandi's Rainbow,Gr.Ch.25 Listening  Comprehension ","Knowledge of rainbowGr. Listening skill based picture identification, rhyming words",They enhance their listening skills,"पाठ-19 चांद का बच्चा,     व्याकरण पाठ 17  अपठित बोध और 18 आओ कहानी कहें",श्रुतभाव के आधार पर कोई कहानी या लेख सुनाना और उस पर आधारित प्रश्न पूछना। कविता सुनाना व चांद का चित्र बनाना,"विद्यार्थी गद्यांश को पढ़कर समझना एवं स्मरण करना सीखेंगे हाव-भाव समझ पाएँगे, कविता की पंक्तियों का अर्थ बता पाना",Revision of annual exam ,Revision of annual exam ,Revision of annual exam ,ch -18 IN THE SKY,tell five lines on sun,day and night
,3,Revision of annual exam ,Revision of annual exam ,Revision of annual exam ,पुनरावत्ति वार्षिक परीक्षा ,पुनरावत्ति वार्षिक परीक्षा ,पुनरावत्ति वार्षिक परीक्षा ,Revision of annual exam ,Revision of annual exam ,Revision of annual exam ,LET'S REVISE 2,,
,4,Revision of annual exam ,Revision of annual exam ,Revision of annual exam ,पुनरावत्ति वार्षिक परीक्षा ,पुनरावत्ति वार्षिक परीक्षा ,पुनरावत्ति वार्षिक परीक्षा ,Revision of annual exam ,Revision of annual exam ,Revision of annual exam ,REVISION ,,
"MARCH 2026
 (23 DAYS)",1,Annual exams,Annual exams,Annual exams,वार्षिक परीक्षा,वार्षिक परीक्षा,वार्षिक परीक्षा,Annual exams,Annual exams,Annual exams,revision ,,
,2,Annual exams,Annual exams,Annual exams,वार्षिक परीक्षा,वार्षिक परीक्षा,वार्षिक परीक्षा,Annual exams,Annual exams,Annual exams,revision ,,
,3,Annual exams,Annual exams,Annual exams,वार्षिक परीक्षा,वार्षिक परीक्षा,वार्षिक परीक्षा,Annual exams,Annual exams,Annual exams,TERM 2 ,,
,4,Annual exams,Annual exams,Annual exams,वार्षिक परीक्षा,वार्षिक परीक्षा,वार्षिक परीक्षा,Annual exams,Annual exams,Annual exams,TERM 2,,
,5,Annual exams,Annual exams,Annual exams,वार्षिक परीक्षा,वार्षिक परीक्षा,वार्षिक परीक्षा,Annual exams,Annual exams,Annual exams,,,
,,,,,,,,,,,,,
,,,,,Subject teacher Jamuna saini and Sonia Rani,,,,,,,,
