DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS XII-COMMERCE ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,MATHEMATICS,,,ECONOMICS ,,,ACCOUNTANCY ,,,BUSINESS STUDIES,,,INFORMATICS PRACTICES,,,PHYSICAL EDUCATION ,,
,4,Formal and Informal Invitations and Replies,EXPLANATION AND DISCUSSION ,"Understand the purpose of invitations and their types: formal (e.g., weddings, inaugurations) and informal (e.g., birthdays, parties).

Identify the correct format, tone, and structure for both formal and informal invitations and replies.

Differentiate between formal invitations (third-person, passive tone, printed/formal language) and informal invitations (first/second-person, friendly tone, conversational style).",,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,,,
,5,Journey to the End Of the Earth,EXPLANATION AND DISCUSSION ,"Gain awareness of global warming and its visible effects on Antarctica.

Understand how changes in Antarctica can impact the rest of the world, especially in terms of rising sea levels and ecological shifts.",,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,,,
"JUNE-2025
 (15 DAYS)",1,"Article Writing,The Enemy,The Indigo",EXPLANATION AND DISCUSSION ,"Understand the format and structure of an article (introduction, body, conclusion).

Learn how to express opinions clearly and logically on a given topic.

Develop skills to support arguments with relevant facts, examples, and data.

Enhance the ability to write persuasively and informatively for a target audience. THE ENEMY Understand the moral dilemma faced by individuals during wartime.

Explore themes of humanity, racism, nationalism, and ethics.

Analyze characters’ development, especially Dr. Sadao’s internal conflict between duty to his country and his conscience. THE INDIGO Understand the historical context of the Champaran movement and Gandhi’s role in Indian independence.

Learn how Gandhi’s principles of non-violence and civil disobedience were applied in real situations.

Appreciate the importance of leadership, courage, and standing up for justice.",,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,,,
,2,The Rattrap,EXPLANATION AND DISCUSSION ,,,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,,,
,3,,EXPLANATION AND DISCUSSION ,,,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,,,
,4,On the Face of It,EXPLANATION AND DISCUSSION ,"Understanding of Prejudice and Acceptance:
Students will understand how people with physical disabilities often face social isolation and prejudices, and how empathy and open-mindedness can break these barriers.

Character Analysis:
Learners will analyze the contrasting personalities of Derry (a shy, withdrawn boy with a burnt face) and Mr. Lamb (an optimistic elderly man with a prosthetic leg), exploring how their interaction transforms Derry’s perspective on life.

Theme Exploration:
Students will identify and discuss key themes such as loneliness, fear, appearance versus reality, inner beauty, and the importance of positive thinking.",,,,"Indian Economics Ch India, Pakistan and China",Explanation and discussion,Reforms of China ,"Ch 4 Retirement and death of a partner: effect of retirement / death of a partner on change in profit sharing ratio, treatment of goodwill, treatment for WCR, IFR and Accum. Profit",Explanation and Numerical questions,Understand the meaning of sacrificing ratio and gaining ratio.,Ch 5 :Organising,Explanation and discussion and project work,"Organising and its structure and delegation and its elements ,centralisation and decentrallisation",Customize plots,"Add title, labels, legend",Enhance visualizations,,,
,5,A Thing of Beauty,EXPLANATION AND DISCUSSION ,"Understanding of Poetic Theme

Students will comprehend the central theme that beauty, in any form, provides eternal joy and comfort, even amidst life's struggles.

Appreciation of Romantic Poetry

Learners will identify features of Romantic poetry such as nature worship, imagination, and emotional expression.

Literary Devices Recognition

Students will recognize and explain poetic devices used in the poem, such as imagery, alliteration, metaphor, and symbolism",,,,"Indian Economics Ch India, Pakistan and china",Explanation and discussion,Compare IPC,"Ch-4 
Accounting for revaluation of assets and reassessment of liabilities and treatment of reserves, WCR, IFR and accumulated profits..
  Preparation of revaluation account and balance sheet

  Numerical questions",Explanation and Numerical questions,• develop the understanding of accounting treatment of revaluation assets and reassessment of liabilities and treatment of reserves and accumulated profits by preparing revaluation account and balance sheet.,Ch 6 : Staffing,Explanation and discussion,Staffing and its importance and its limitation and various steps in staffing,Practical Work,Implement learned concepts in lab,Apply concepts practically,,,
"JULY 2025 
(27 DAYS)",1,Cutting Of My Hair and We Too Are Human Beings,EXPLANATION AND DISCUSSION ,"Understanding Cultural Identity and Loss

Students will understand how forced assimilation affects one's cultural identity, especially in the context of Native American history.

Empathy and Social Awareness

Learners will develop empathy for marginalized communities and recognize the psychological trauma caused by cultural oppression.

Analysis of Autobiographical Narratives

Students will analyze the use of personal narrative to convey strong emotions, resistance, and the struggle for dignity. WE TOO ARE HUMAN BEING :Understanding Social Injustice and Discrimination

Students will understand the realities of caste-based discrimination and its impact on dignity, access, and self-worth in Indian society.

Appreciation of Personal Experience as a Powerful Tool

Learners will see how autobiographical writing can raise awareness and challenge social evils like untouchability.

Theme Exploration: Resistance and Education

Students will discuss how education and awareness can become tools of empowerment against social inequality",,,,Macreeconomics Ch Intro. of National Income ,Explanation and discussion,Circular Flow of Money ,"CH 4 Death of a partner: effect of death of a partner on profit sharing ratio, treatment of goodwill, treatment for revaluation of assets and reassessment of liabilities, adjustment of accumulated profits and reserves and preparation of balance sheet
• Calculation of deceased partner’s share of profit till the date of death.
  Numerical questions",Explanation and Numerical questions,Students are able to prepare Death partner's capital A/c,Ch 6 : Staffing,Explanation and discussion,Staffing and its importance and its limitation and various steps in staffing,Revision of Class XI SQL,"Revise SELECT, WHERE, INSERT",Refresh database basics,,,
,2,Poets and Pancakes,EXPLANATION AND DISCUSSION ,"Understanding of the Film Industry and Satire

Students will gain insights into the inner workings of the Gemini Studios and understand how satire is used to highlight the absurdities and contradictions of the film world.

Appreciation of Narrative Style

Learners will appreciate the autobiographical and humorous style of writing, characterized by wit, irony, and observational depth.",,,,Macreeconomics Ch Aggregate of National Income ,Explanation and discussion,"GDP, GNP, NDP & NNP at MP and FC","Dissolution of a partnership firm: meaning of dissolution of partnership and partnership firm, types of dissolution of a firm. Settlement of accounts - preparation of realization account, and other related accounts: capital accounts of partners and cash/bank a/c (excluding piecemeal distribution, sale to a company and insolvency of partner(s)).",Explanation and Numerical questions,Students are able to prepare Realisation A/c and partner's capital A/c.,Ch 6 : Staffing,Explanation and discussion,Staffing and its importance and its limitation and various steps in staffing,SQL Math Functions,"Use POWER(), ROUND(), MOD()",Perform math operations in SQL,,,
,3,Job Application,EXPLANATION AND DISCUSSION ,"Understand the Format:
Students will be able to identify and use the correct format of a formal job application letter, including address, salutation, body, and closing.

Write with Purpose and Clarity:
Students will learn to write job application letters that clearly state the applicant's intention, qualifications, and suitability for the role.

Use Appropriate Tone and Language:
Students will develop the ability to write in a formal, respectful, and professional tone suited for job applications.",,,,Macreeconomics Ch Aggregate of National Income ,Explanation and discussion,Mathematical relation between various aggregate of National Income ,"Dissolution of a partnership firm: meaning of dissolution of partnership and partnership firm, types of dissolution of a firm. Settlement of accounts - preparation of realization account, and other related accounts: capital accounts of partners and cash/bank a/c (excluding piecemeal distribution, sale to a company and insolvency of partner(s)).",Explanation and Numerical questions,Students are able to prepare Realisation A/c and partner's capital A/c.,,,,SQL Text Functions,"Use UPPER(), LOWER(), LENGTH()",Manipulate text in SQL,,,
,4,Memories Of Childhood- The,EXPLANATION AND DISCUSSION ,,,,,Macreeconomics Ch Methods of National Income ,Explanation and discussion,Expenditure Method of NI ,"Share and share capital: nature and types 
  • Accounting for share capital: issue and allotment of equity and preferences shares. Public subscription of shares - over subscription and under subscription of shares; issue at par and at premium, calls in advance and arrears (excluding interest),",Explanation and Numerical questions,Understand the meaning of share and share capital and differentiate between equity shares and preference shares and different types of share capital.,Ch 7 : Directing,Explanation and discussion,"Directing and its importance and limitation, Leadership its role and importance",SQL Date Functions,"Use NOW(), DATE(), YEAR()",Handle dates in SQL,,,
,5,,EXPLANATION AND DISCUSSION ,,,,,Macreeconomics Ch Methods of National Income ,Explanation and discussion,Income & Value Added Method of NI ,"issue of shares for consideration other than cash.
  • Concept of Private Placement and Employee Stock Option Plan (ESOP).
  • Accounting treatment of forfeiture and re- issue of shares.
  • Disclosure of share capital in the Balance Sheet of a company.",Explanation and Numerical questions,They can describe the presentation of share capital in the balance sheet of the company as per schedule III part I of the Companies Act 2013.,Ch 7 : Directing,Explanation and discussion,"Directing and its importance and limitation, Leadership its role and importance",Group by & Aggregate Functions,"Use SUM(), AVG(), COUNT()",Summarize data in SQL,,,
"AUGUST 2025 
(23 DAYS)",1,A Roadside Stand,EXPLANATION AND DISCUSSION ,,,,,Macreeconomics Ch AD and AS ,Explanation and discussion,AD and AS Schedule and Diagram ,"Share forfeiture, reissue of share forfetiure",Explanation and Numerical questions,Students are able to pass journal entry in case of forfeiture,Ch 8 :Controlling,Explanation and discussion,Develop the understanking and skills Controlling and its importance and its various steps,"GROUP BY, HAVING",Query with GROUP BY,Group and filter records,,,
,2,,EXPLANATION AND DISCUSSION ,,,,,Macreeconomics Ch AD and AS ,Explanation and discussion,Numericals on AD and AS ,Share forfeiture and reissue of share - Oversubscription,Explanation and Numerical questions,Students are able to pass journal entry in case of forfeiture,Ch 8 :Controlling,Explanation and discussion,Develop the understanking and skills Controlling and its importance and its various steps,ORDER BY & Joins,Sort and join tables,Combine data from multiple tables,,,
,3,The Interview,EXPLANATION AND DISCUSSION ,,,,,Macreeconomics Ch Short Run Equilibrium Output ,Explanation and discussion,Condition of Equilibrium ,Share forfeiture and reissue of share - Oversubscription,Explanation and Numerical questions,Students are able to pass journal entry in case of forfeiture,Ch 9 : Financial management,Explanation and discussion,Financial managment its types and importance and various facotors affecting its,Practical SQL,Lab work on SQL queries,Implement SQL commands,,,
,4,,EXPLANATION AND DISCUSSION ,,,,,Macreeconomics Ch Short Run Equilibrium Output ,Explanation and discussion,Concept of Investment Multiplier,"Debentures: Issue of debentures at par, at a premium and at a discount. Issue of debentures for consideration other than cash",Explanation and Numerical questions,explain the accounting treatment of different categories of transactions related to issue of debentures.,Ch 9 : Financial management,Explanation and discussion,Financial managment its types and importance and various facotors affecting its,Introduction to Networks,"PAN, LAN, MAN, WAN",Understand network types,,,
,5,Aunt Jennifer’s Tigers,EXPLANATION AND DISCUSSION ,,,,,Macreeconomics Ch Ex. Demand and Deficient Demand ,Explanation and discussion,Fiscal policy of the Government ,"Debentures: Issue of debentures with terms of redemption; debentures as collateral security- concept, interest on debentures. Writing off discount / loss on issue of debentures.",Explanation and Numerical questions,Students are able to explain the accounting treatment of different categories of transactions related to issue of debentures.,Ch 9 : Financial management,Explanation and discussion,"Financial market and its various importance , pirmary and secondary market and SEBI and its functions",Network Devices,"Study router, modem, etc.",Identify network components,,,
"SEPTEMBER 2025
(21 DAYS)",1,,EXPLANATION AND DISCUSSION ,,,,,Indian Economics Ch Human Capital Formation ,Explanation and discussion,"Sources of Human capital: Education, Health, Training..",Debentures: Numerical questions,Explanation and Numerical questions,Students are able to explain the accounting treatment of different categories of transactions related to issue of debentures.,Ch 10 : Financial market,Explanation and discussion,"Financial market and its various importance , pirmary and secondary market and SEBI and its functions",Network Topologies,Draw and compare topologies,Analyze network structures,,,
,2,Going Places,EXPLANATION AND DISCUSSION ,,,,,Indian Economics Ch Employment ,Explanation and discussion,Types of Unemployment in India ,Debentures: Numerical questions,Explanation and Numerical questions,Students are able to explain the accounting treatment of different categories of transactions related to issue of debentures.,Ch 10 : Financial market,Explanation and discussion,,Internet and Web,"Understand URL, VoIP",Identify internet applications,,,
,3,,,,,,,Indian Economics Ch Rural Development ,Explanation and discussion,"Strategies to develop the rural, Allied activities ","Ch - Financial Stmt. Analysis- meaning, singnificance, objectives, importance and limitation
  Ch Tools for Financial Stmt.- Comarative stmt. And Common size statement",Explanation and Numerical questions,"develop the understanding of major headings and sub-heading of balance sheet
  state the meaning , objectives and limitation",Ch 11 Marketing,Explanation and discussion and project work,"Marketing and its fucntions,various factors in marketing product, place , price and promotion and its elements",Website vs Webpage,Study static vs dynamic sites,Differentiate web components,,,
,4,,,,,,,Indian Economics Ch Rural Development ,Explanation and discussion,"Operation Flood, Horticulture, Fishing, Poultry..",Ch Tools for Financial Stmt.- Comarative stmt. And Common size statement,Explanation and Numerical questions,Develop the skills of preparation of preparation of comparative and common size statement.,Ch 11 Marketing,Explanation and discussion and project work,"Marketing and its fucntions,various factors in marketing product, place , price and promotion and its elements",Web Browsers,Explore settings and plugins,Configure browser features,,,
,5,,,,,,,Indian Economics Ch Sustainable Development ,Explanation and discussion,"SDGs Goals, Global Warming, Ozone depletion, Organic Farming..","Ch- Accounting ratio- Meaning , objectives, advantages, classification and computation of liquid ratio, solvency ratio, activity ratio and profitability ratio.",Explanation and Numerical questions,Develop the skills of computation of Accounting ratio,Ch 11 Marketing,Explanation and discussion and project work,"Marketing and its fucntions,various factors in marketing product, place , price and promotion and its elements",Societal Impacts: Intro,Discuss digital footprint,Awareness on digital impact,,,
"OCTOBER 2025 
(19 DAYS)",1,,,,,,,Macreeconomics Ch Government Budget ,Explanation and discussion,Objective and Components of the Government Budget ,TERM1 EXAM,TERM1 EXAM,TERM1 EXAM,TERM1 EXAM,TERM1 EXAM,TERM1 EXAM,IPR & Plagiarism,Discuss copyrights and licensing,Respect digital rights,,,
,2,,,,,,,Macreeconomics Ch Government Budget ,Explanation and discussion,Revenue and Capital Expenditure and Receipts,TERM1 EXAM,TERM1 EXAM,TERM1 EXAM,TERM1 EXAM,TERM1 EXAM,TERM1 EXAM,Cybercrime and Laws,"Phishing, hacking, IT Act",Understand cyber laws,,,
,3,,,,,,,Macreeconomics Ch Balance of payment ,Explanation and discussion,Components of BOP _ Current & Capital Account ,"Ch- Accounting ratio- Meaning , objectives, advantages, classification and computation of liquid ratio, solvency ratio, activity ratio and profitability ratio.",Explanation and Numerical questions,Develop the skills of computation of Accounting ratio,Ch 12 : Consumer Protection,Explanation and discussion and project work,Consumer protection and its importance and reponsibliites and rights of consumers and various forum,E-waste Management,Hazards and recycling,Practice eco-friendly disposal,,,
,4,,,,,,,Macreeconomics Ch Balance of payment ,Explanation and discussion,Equilibrium and Disequilibrium of BOP,Ch - Cashflow Statemnt,Explanation and Numerical questions,"Develop the understanding of meaning , objectives and preparation of Cash flow statement using indirect method as per AS-3",Ch 12 : Consumer Protection,Explanation and discussion and project work,Consumer protection and its importance and reponsibliites and rights of consumers and various forum,Health and Tech,"Discuss screen time, posture",Be aware of tech health impact,,,
,5,,,,,,,Macreeconomics Ch Foreign Exchange Rate ,Explanation and discussion,Methods Of Determination of Foreign Ex. Rate,Ch - Cashflow Statemnt,Explanation and Numerical questions,"Develop the understanding of meaning , objectives and preparation of Cash flow statement using indirect method as per AS-3",,,,Project Planning,Choose project topic,Initiate real-world IT project,,,
"NOVEMBER 2025 
(24 DAYS)",1,,,,,,,,,,Ch - Cashflow Statemnt,Explanation and Numerical questions,"Develop the understanding of meaning , objectives and preparation of Cash flow statement using indirect method as per AS-3",,,,Project Development,Develop using Python/SQL,Build IT application,,,
,2,,,,,,,,,,,,,,,,Project Development,Continue project work,Apply concepts learned,,,
,3,,,,,,,,,,,,,,,,Project Refinement,Debug and finalize,Polish IT solution,,,
,4,,,,,,,,,,,,,,,,Practical File Completion,"Complete 15 Pandas, 15 SQL tasks",Prepare for assessment,,,
,5,,,,,,,,,,,,,,,,Internal Viva Practice,Mock viva sessions,Prepare for final viva,,,
"DECEMBER 2025
(21 DAYS)",1,,,,,,,,,,,,,,,,Revision: Pandas & Plots,"Revise Series, DataFrame, plots",Reinforce learning,,,
,2,,,,,,,,,,,,,,,,Revision: SQL,Revise SQL queries,Consolidate query skills,,,
,3,,,,,,,,,,,,,,,,Revision: Networking,Review networks & security,Summarize connectivity topics,,,
,4,,,,,,,,,,,,,,,,Revision: Societal Impacts,Discuss tech & society,Be tech aware,,,
,5,,,,,,,,,,,,,,,,Pre-Board Practice,Sample paper solving,Exam readiness,,,
"JANUARY 2026
 (14 DAYS)",1,,,,,,,,,,,,,,,,REVISION FOR ANNUAL EXAM,,,,,
,2,,,,,,,,,,,,,,,,REVISION FOR ANNUAL EXAM,,,,,
,3,,,,,,,,,,,,,,,,REVISION FOR ANNUAL EXAM,,,,,
,4,,,,,,,,,,,,,,,,REVISION FOR ANNUAL EXAM,,,,,
,5,,,,,,,,,,,,,,,,REVISION FOR ANNUAL EXAM,,,,,
"FEBRUARY 2026
 (24 DAYS)",1,,,,,,,,,,,,,,,,ANNUAL EXAM,,,,,
,2,,,,,,,,,,,,,,,,ANNUAL EXAM,,,,,
,3,,,,,,,,,,,,,,,,ANNUAL EXAM,,,,,
,4,,,,,,,,,,,,,,,,ANNUAL EXAM,,,,,
"MARCH 2026
 (23 DAYS)",1,,,,,,,,,,,,,,,,ANNUAL EXAM,,,,,
,2,,,,,,,,,,,,,,,,ANNUAL EXAM,,,,,
,3,,,,,,,,,,,,,,,,ANNUAL EXAM,,,,,
,4,,,,,,,,,,,,,,,,ANNUAL EXAM,,,,,
,5,,,,,,,,,,,,,,,,ANNUAL EXAM,,,,,
