DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS XI-COMMERCE ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HISTORY ,,,POLITICAL SCIENCE ,,,ECONOMICS ,,,ENTREPRENEURSHIP,,,INFORMATICS PRACTICES,,,PHYSICAL EDUCATION ,,
,4,Note-Making,Explanation & Practice,- will be able to prepare notes on any topic or subject - will be able to summarise the content for better learning,Nomadic Empires,"Worksheet, Presentation",Able to use the knowledge in their daily life. Able to understand the culture of Nomadic Empire.,Election and Representation,Role Play/Mock Election,TO LEARN ABOUT HOW TO FILE ELECTION NOMINATIONS AND THE TECHNICAL ISSUES INVOLVED IN IT.,,,,Unit 2 : An Entrepreneur ,Explanation and discussion,Motivation and Various types of Entrepreneurs,SQL Queries,"Group by in SQL , fecthing data after making group of columns, Practical on SQL server",Students will be able to fetch data from DB as per group created by them,,,
,5,   Ch2: The Address(Snapshots)    Poen 2: The labunum to,"Reading, Explanation & Discussion",- will know the devastating effect of war - will be able to know the true faces of people - will understand the value of things that matter the most in life - corealative process and unconditional love of a mother,Nomadic Empires,Map Work,"The students will come to
know about the nomads and
their lifestyles.
",Election and Representation,Role Play/Mock Election,TO EXPLAIN THE REPRESENTATION OF THE WOMEN IN THE POLITICAL SPACE OF INDIA.,,,,Unit 2 : An Entrepreneur ,Explanation and discussion,"Competencies, Ethical Environ.& Entrepreneurship & Intrapreneurship",SQL Functions,"Session: Using built-in SQL functions(Text,maths, date)",Utilize functions for data analysis.,,,
"JULY 2025 
(27 DAYS)",1,Ch3: The mother's Day(Snapshots),"Reading, Explanation & Discussion",- will understand the hard work and struggle of women in house - develop a sense of equality - will cooperate female memebrs  in house,Nomadic Empires,Group Discussion,Able to use the knowledge in their daily life. Able to understand the culture of Nomadic Empire.,Freedom,Drama/Report,DISTINGUISH BETWEEN NEGATIVE AND POSITIVE CONCEPTS OF FREEDOM.,,,,Unit 3: Entrepreneurial Journey ,Explanation and discussion,Ways of Idea Generation ,SQL Functions,"Session: Using built-in SQL functions(Text,maths, date) Practical on SQL server",Utilize functions for data analysis.,,,
,2,Poem3: The voice of the rain,"Reading, Explanation & Discussion",- will know the life giving nature of rain - water cycle and its importance - similarity of music and rain,Three Orders,Role Play,Describe the spritual and political influence of the church in medieval Europe,Freedom,Drama/Report,TO UNDERSTAND AND EXPLAIN THE IMPORTANCE OF FREEDOM IN HUMAN LIFE.,,,,Unit 3: Entrepreneurial Journey ,Explanation and discussion,Concept & Types of Feasibility Studies ,SQL Joins,Session: Combining data from multiple tables,Perform complex queries using JOIN operations.,,,
,3,Classified Advertisements,Explanation & Practice,- will understand the format and types of classified adv. - will be able to prepare adv. as per need,Three Orders,Report Writing,"Understand the feudal system and the role of lords, vassals & knights",Executive,Group Discussion/Collage,TO COMPARE DEMOCRATIC REGIMES AND EVALUATE THEIR FUNCTIONING.,,,,Unit 3: Entrepreneurial Journey ,Explanation and discussion,Draft a basic business Plan ,SQL Joins,"Session: Combining data from multiple tables, Practical on SQL server",Perform complex queries using JOIN operations.,,,
,4,Revision for PT-1 Exam, ,,Three Orders,Group Discussion,Examine the causes of the decline of feudalism,Executive,Mock Parliament,,,,,Unit 3: Entrepreneurial Journey ,Explanation and discussion,Reason for Success of a Business Plan,Introduction to Python,Session: Basics of Python programming,"Understand Python syntax, variables, and data types.",,,
,5,Revision for PT-1 Exam,,,Revision for PT-1 Exam,Revision for PT-1 Exam,Revision for PT-1 Exam,Revision for PT-1 Exam,,,,,,Unit 3: Entrepreneurial Journey ,Explanation and discussion,Reason for Failure of a Business Plan ,Control Structures,Session: if-else statements,Implement decision-making in programs.,,,
"AUGUST 2025 
(23 DAYS)",1,PT- Examination ,,,PT- Examination ,PT- Examination ,PT- Examination ,PT- Examination ,,,,,,Unit 4 : Entrepreneurship As Innovation and Problem Solving ,Explanation and discussion,Role of Entrepreneur as Problem Solver,Loops,Session: for and while loops,Perform repetitive tasks using loops.,,,
,2, Ch4: The Adventure(Hornbill),"Reading, Explanation & Discussion",-will understand the significance of small incidents in life - will be able to consider various possbilities in life - ,Changing Cultural Traditions,Group Discussion,To Explore the intellectual trends in the period,Legislature,Mock Parliament/G.D,TO KNOW ABOUT THE ROLE OF THE LEGISLATURE IN THE PARLIAMENT.,,,,Unit 4 : Entrepreneurship As Innovation and Problem Solving ,Explanation and discussion,Appreciate role of Global and Indian Innovation ,Lists,Session: Creating and manipulating lists,Store and process collections of data.,,,
,3,Poem4: Childhood(Hornbill),"Reading, Explanation & Discussion",- will understand the life and hypocrite attitude of people - will enjoy their childhood,Changing Cultural Traditions,Debate,Familiarise with the buildings and paintings of the period.,Legislature,Mock Parliament/G.D,TO KNOW ABOUT THE ROLE OF THE LEGISLATURE IN THE PARLIAMENT.,,,,Unit 4 : Entrepreneurship As Innovation and Problem Solving ,Explanation and discussion,Use of Technology ,Dictionaries,Session: Creating and manipulating dictionaries,Use key-value pairs for data storage.,,,
,4,Poster-Making,Explanation & Practice,- will know how to prepare poster - will learn the format and contents of a poster - will be able to draw posters,Changing Cultural Traditions,Presentation,Understand how Renaissance thinkers questioned traditional Church views ans emphasized observation & reason,Legislature,Mock Parliament/G.D,TO KNOW ABOUT THE ROLE OF THE LEGISLATURE IN THE PARLIAMENT.,,,,Unit 4 : Entrepreneurship As Innovation and Problem Solving ,Explanation and discussion,Use of Digitization ,Dictionaries,"Session: Creating and manipulating dictionaries, Practical on IDLE",Use key-value pairs for data storage.,,,
,5,Speech,"Explanation, Discussion & Presentation",- will be able to describe a topic verbally - will be able to consider any topic and to present their ideas and views on it,Displacing Indigenous people ,Worksheet,To understand the process of displacement that accompanied the development of America and Australia.,Equality,Role Play/Report,UNDERSTAND WHAT EQUALITY MEANS AND WHY IT IS IMPORTANT.,,,,Unit 4 : Entrepreneurship As Innovation and Problem Solving ,Explanation and discussion,Concept of Social Entrepreneurship ,Introduction to Python Libraries,Discussion on libraries like Pandas and Matplotlib,Understand purpose of libraries,,,
"SEPTEMBER 2025
(21 DAYS)",1,Revision for Term-1 Examination ,,,Displacing Indigenous people ,Debate,"Understand how colonization affected indigenous populations-socially, economically & culturally",Equality,Role Play/Report,UNDERSTAND WHAT EQUALITY MEANS AND WHY IT IS IMPORTANT.,,,,Unit 5 : Understanding the Market ,Explanation and discussion,Scan Market Environment ,Series in Pandas,Create Series from ndarray/dictionary,Create and manipulate Series,,,
,2,Revision for Term-1 Examination ,,,Displacing Indigenous people ,Debate,To differentiate between the native peoples of South and North America.,Revision for Term-1 Examination ,Revision for Term-1 Examination ,Revision for Term-1 Examination ,,,,Unit 5 : Understanding the Market ,Explanation and discussion,Conduct Market Research ,Operations on Series,"Use head(), tail(), indexing, slicing",Apply operations on Series,,,
,3,Term -1 Examination,,,Paths to Modernization ,Group Discussion,Understand the nature of growth in the period and its limit.,Term -1 Examination,Term -1 Examination,Term -1 Examination,,,,Unit 5 : Understanding the Market ,Explanation and discussion,Conduct Market Research ,DataFrames: Introduction,Create DataFrames from dict and list,Understand structure of DataFrames,,,
,4,Term -1 Examination,,,Paths to Modernization ,Map Work,Demonstrate an understanding of the concept of modernization and its application in various forms in East Asia during the 19th and 20th centuries.,Term -1 Examination,Term -1 Examination,Term -1 Examination,,,,Unit 5 : Understanding the Market ,Explanation and discussion,Know elements of Marketing Mix ,Operations on DataFrames,Add/delete/select/rename columns,Modify and manage DataFrames,,,
,5,Term -1 Examination,,,Revision for Term-1 Exam,Revision for Term-1 Exam,Revision for Term-1 Exam,Term -1 Examination,Term -1 Examination,Term -1 Examination,,,,Unit 5 : Understanding the Market ,Explanation and discussion,Know elements of Marketing Mix ,Indexing in DataFrames,Boolean indexing and label selection,Use indexing techniques,,,
"OCTOBER 2025 
(19 DAYS)",1,Debate,"Explanation, Discussion & Presentation",-will be able to understand various aspects of debating - will be able to prove their point on the bases of facts and reasons,Term -1 Examination,Term -1 Examination,Term -1 Examination,Judiciary,Mock Parliament/G.D,TO EXPLAIN THE WAYS IN WHICH THE JUDICIARY OF ONE COUNTRY DIFFERS FROM THE REST OF THE OTHER.,,,,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Unit Cost analysis ,MID TERM EXAM ,,,,,
,2,Poem5: Father to Son,"Reading, Explanation & Discussion",-relationships between a father and son - will be able to develop a strong relationship based on love and understand,Term -1 Examination,Term -1 Examination,Term -1 Examination,Judiciary,Mock Parliament/G.D,TO EXPLAIN THE WAYS IN WHICH THE JUDICIARY OF ONE COUNTRY DIFFERS FROM THE REST OF THE OTHER.,,,,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Unit Cost analysis ,MID TERM EXAM,,,,,
,3,Ch5: Silk road(Hornbill),"Reading, Explanation & Discussion",- will know the ancient trade route of silk - life and culture of Tibetan people and the religious pilgrimage KORA - will know the difficulty and life threatening situations faced by people in mountains regions,Term -1 Examination,Term -1 Examination,Term -1 Examination,Social Justice,Group Discussion /debate,IDENTIFY AND KNOW HOW TO RESPOND TO THE NEEDS IN THE COMMUNITY.,,,,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Find Unit of sale ,Import/Export CSV files,Read and write CSV using pandas,Exchange data with files,,,
,4,Ch4: Birth(Snapshots),"Reading, Explanation & Discussion",-will be able understand the difference between the classroom learning and practical wisdom -duty and responsibilities of a doctor - will have respect for medical workers ,DIWALI VACATION,DIWALI VACATION,DIWALI VACATION,Social Justice,Group Discussion /debate,TODEVELOP STRATEGIES TO OVERCOME AND PREVENT SOCIAL INJUSTICE.,,,,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Find Unit of sale ,Import/Export CSV files,"Read and write CSV using pandas, Practical on IDLE",Exchange data with files,,,
,5,Ch5: The tale of Melon city(Snapshots),"Reading, Explanation & Discussion",- will know the outcomes of foolishness - duty of counsellors - consequences of flattery and lazyness and strategies to maintain law and peace in a state,DIWALI VACATION,DIWALI VACATION,DIWALI VACATION,Federalism,Debate and Group Discussion,KNOW THE MEANING OF FEDERALISM AND FEATURES OF FEDERALISM.,,,,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Solve Unit Price,Data Visualization: Introduction,Use line/bar/histogram,Create basic plots with matplotlib,,,
"NOVEMBER 2025 
(24 DAYS)",1,Transformation of Sentences,Explanation & Practice,-will be able to transfrom different type of sentences - will know techniques to express ideas in various ways without changing the meaning,Paths to Modernization ,Debate,Understand the nature of growth in the period and its limit.,Federalism,Debate and Group Discussion,"APPRECIATE, RESPECT THE POWER SHARING PROCESS IN INDIA.",,,,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Find Unit of sale ,Data Visualization: Introduction,"Use line/bar/histogram, Practical on IDLE",Create basic plots with matplotlib,,,
,2,Clauses - Intro & References,Explanation & Practice,- will know clause and its types,Paths to Modernization ,Group Discussion,Define modernization in historical context.,Rights,Role Play/Report,THE STUDENTS WILL BE ABLE TO RELATE HUMAN RIGHTS WITH OTHER RIGHTS OF INDIVIDUALS.,,,,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Know Components of Cost ,Customize plots,"Add title, labels, legend",Enhance visualizations,,,
,3,Structures & Patterns of Clsudes,Explanation & Practice,-will understand different clause and itsstructures,Assessment,WORKSHEET/SQP,,Rights,Role Play/Report,"TO EXPLAIN THE MEANING OF HUMAN RIGHTS AND EXAMINE HUMAN RIGHTS ISSUES IN DIFFERENT SOCIAL, POLITICAL AND CULTURAL CONTEXTS.",,,,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Know Components of Cost ,Customize plots,"Add title, labels, legend, Practical on IDLE",Enhance visualizations,,,
,4,"Noun, Adjective & Adverb Clauses",Explanation & Practice,-will be able to form different clauses -languanges enhancement - will express their ideas ina better way,Assessment,ASSIGNMENT/WORKSHEET,,Constitution a Living Document,Group Discussion and Debate,UNDERSTAND THE STRUCTURE AND COMPOSITION OF INDIAN CONSTITUTION.,,,,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Find Break Even of Single Product ,Practical Work,Implement learned concepts in lab,Apply concepts practically,,,
,5,Revision for PT-2,,,Revision ,SAMPLE PAPER,,Local Self Government,Role Play/Report,TO EXPLAIN WHAT THE KEY ISSUES ARE IN LOCAL POLITICS.,,,,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Find Break Even of Single Product ,Revision ,,,,,
"DECEMBER 2025
(21 DAYS)",1,Revision for PT-2,,,Revision,WORKSHEET/SQP,,Local Self Government,Role Play/Report,,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,"Type of Resource - Physical, Human, Financial etc",Introduction  Of IP,Role and importance/ Application areas of CS in future,Students will understand the importance and future with this subject,,,
,2,Revision for PT-2,,,Revision,SAMPLE PAPER,,Citizenship,Collage/News Paper Reporting,TO EXPLAIN WHAT ROLE BOTH THE STATES AND CITIZENS ARE TO PLAY IN REALIZING THE GOAL OF GOVERNMENT.,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,"Type of Resource - Physical, Human, Financial etc",Introduction of SQL ,DBMS and RDBMS,Students will understand the use of SQL in DBMS,,,
,3,PT-2 Examination,,,Revision,PRACTICE PAPER,,Citizenship,Collage/News Paper Reporting,TO EXPLAIN THE MEANING AND NATURE OF CITIZEN'S CHARTER IN INDIA.,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,"Type of Resource - Physical, Human, Financial etc",SQL Basics,Session: Introduction to databases and SQL,Understand database concepts and SQL syntax.,,,
,4,PT-2 Examination,,,Revision,PRACTICE PAPER,,Nationalism,News Paper Reporting,TO UNDERSTAND THE ROLE OF DIFFERENT CULTURAL AND POLITICAL ORGANIZATIONS AND IDEOLOGIES WHICH CONTRIBUTED TO THE FREEDEOM MOVEMENT OF INDIA SIGNIFICANTLY.,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,Selection of Human Resource,SQL Queries,"Session: SELECT, INSERT, UPDATE, DELETE statements",Retrieve and manipulate data in databases.,,,
,5,PT-2 Examination,,,Winter  Vacation,,,Nationalism,News Paper Reporting,,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,Selection of Human Resource,SQL Queries,"Session: SELECT, INSERT, UPDATE, DELETE statements",Retrieve and manipulate data in databases.,,,
"JANUARY 2026
 (14 DAYS)",1,Revision for annual examination ,,,Winter  Vacation,,,Secularism,Collage/News Paper Reporting,DEVELOP AN UNDERSTANDING OF THE RULE OF LAW AND OUR INVOLVEMENT WITH THE LAW.,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,Selection of Human Resource,SQL Queries,Fetching data from database using various condition ,Retrieve and manipulate data in databases.,,,
,2,Revision for annual examination ,,,Winter  Vacation,,,Secularism,Collage/News Paper Reporting,DEVELOP AN APPRECIATION OF HUMAN RIGHTS GUARANTEED IN THE CONSTITUTION.,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,Utilisation of Human Resource ,SQL Queries,Fetching data from database using various condition ,Retrieve and manipulate data in databases.,,,
,3,Revision for annual examination ,,,Revision,WORKSHEET/SQP,,Peace,News Paper Reporting/Mun,DEMONSTATE AWARENESS OF CONFLICT RESOLUTION.,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,Utilisation of Human Resource ,Import/Export CSV files,Read and write CSV using pandas,Exchange data with files,,,
,4,,,,Revision,ASSIGNMENT/WORKSHEET,,Development,News Paper Reporting/Mun,THEY WILL HAVE SKILLS TO MANAGE POLICY IMPLEMENTATION.,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,"Use by Auditor, lawyer, Acc.etc",Import/Export CSV files,"Read and write CSV using pandas, Practical on IDLE",Exchange data with files,,,
,5,,,,Revision,SAMPLE PAPER,,,,,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,"Use by Auditor, lawyer, Acc.etc",Data Visualization: Introduction,Use line/bar/histogram,Create basic plots with matplotlib,,,
"FEBRUARY 2026
 (24 DAYS)",1,,,,Revision,WORKSHEET/SQP,,Annual Exam,,,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Data Visualization: Introduction,"Use line/bar/histogram, Practical on IDLE",Create basic plots with matplotlib,,,
,2,,,,Revision,SAMPLE PAPER,,Annual Exam,,,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Customize plots,"Add title, labels, legend",Enhance visualizations,,,
,3,,,,Revision,PRACTICE PAPER,,Annual Exam,,,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Customize plots,"Add title, labels, legend, Practical on IDLE",Enhance visualizations,,,
,4,,,,Revision,PRACTICE PAPER,,Annual Exam,,,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Practical Work,Implement learned concepts in lab,Apply concepts practically,,,
"MARCH 2026
 (23 DAYS)",1,,,,Annual Exam,,,Annual Exam,,,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Test and Practical,Practical on IDLE,,,,
,2,,,,Annual Exam,,,Annual Exam,,,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Test and Practical,Practical on IDLE,,,,
,3,,,,,,,,,,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Test and Practical,Practical on IDLE,,,,
,4,,,,,,,,,,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Test and Practical,Practical on IDLE,,,,
,5,,,,,,,,,,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Annual Exam,Test and Practical,Practical on IDLE,,,,
