DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS X ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,,
,3,LETTER TO EDITOR,,"Understand the format and structure of a formal Letter to the Editor.

Write a clear and concise letter addressing a social issue or concern.

Use formal tone, persuasive language, and logical arguments.

Organize their thoughts coherently in a structured format.

Edit and revise their writing for grammar, clarity, and impact.",Probability,EXPLANATION AND PROBLEM SOLVING,"Learn about random experiments, sample space and events.",गद्य खण्ड - बालगोबिन भगत ,"वाचन करना, भावार्थ समझाना और प्रश्नोत्तर करवाना।",विद्यार्थी भावार्थ तथा प्रश्नोत्तर बता सकेंगे।,Ch- Control and Coordination ,Explanation,The student will develop connection about the importance of topics to the real world.,Forest and Wildlife Resources,MAP ACTIVITY,Analyse the role of grazing and wood cutting in the development and degradation,,,,AI Project Cycle: Problem Scoping,Session: Problem Scoping & Sustainable Development Goals,Learn to define project goals and objectives in AI development.,
,4,REPORTED SPEECH GAP FILLING,,"Identify the correct changes in tense, pronouns, and time expressions.

Convert statements, questions, and commands from direct to indirect speech.

Use reported speech accurately in dialogues and writing.

Avoid common errors and confusion in tense shifting.",Coordinate Geometry,EXPLANATION AND PROBLEM SOLVING,"Derives and applies distance formula, section formula in the context of a coordinate plane.",ग्रीष्मकालीन अवकाश।,ग्रीष्मकालीन अवकाश।,ग्रीष्मकालीन अवकाश।,Summer Vacation,,,Summer Vacation,,,,,,AI Project Cycle: Data Acquisition,Session: Simplifying Data Acquisition,Understand the importance of data collection in AI.,
,5,REPORTED SPEECH  MCQ,,"Identify the correct changes in tense, pronouns, and time expressions.

Convert statements, questions, and commands from direct to indirect speech.

Use reported speech accurately in dialogues and writing.

Avoid common errors and confusion in tense shifting.

",Introduction to Trigonometry,EXPLANATION AND PROBLEM SOLVING,"trigonometric ratios uses,height and distance probelm solutions, angle of elevation and depression ",ग्रीष्मकालीन अवकाश।,ग्रीष्मकालीन अवकाश।,ग्रीष्मकालीन अवकाश।,Summer Vacation,,,Summer Vacation,,,,,,AI Project Cycle: Data Exploration,Session: Visualizing Data Practical in Lab,Learn data exploration techniques and their significance.,
"JUNE-2025
 (15 DAYS)",1,"DIARY OF ANNE, BALL POEM",,"Understand the historical context of Anne Frank's life and her experiences during the Holocaust.

Analyze the themes of hope, fear, isolation, and the human spirit in Anne Frank's writing.

Reflect on the emotional impact of Anne's words and relate it to their own lives. BALL POEM Understand the central theme of loss and its impact on personal growth.

Analyze poetic devices such as metaphor, symbolism, and tone.

Interpret the significance of the ball as a symbol in the poem.",Some Applications of Trigonometry,EXPLANATION AND PROBLEM SOLVING,"Determines trigonometric ratios and identities with respect to a given acute angle (of a right triangle).angle of elevation,angle of dipression",ग्रीष्मकालीन अवकाश।,ग्रीष्मकालीन अवकाश।,ग्रीष्मकालीन अवकाश।,Summer Vacation,,,Summer Vacation,,,,,,,,,
,2,GLIMPSES OF INDIA,,"Understand the cultural significance of the Goan bakery tradition and Coorg’s natural beauty.

Identify and describe the unique aspects of the Goan bakery culture and the life of a baker.

Appreciate the geography and heritage of Coorg through detailed descriptions of its people, landscape, and natural environment.

Analyze the themes of tradition, nostalgia, and identity in the context of both regions.",Areas Related to Circles,EXPLANATION AND PROBLEM SOLVING,Find the area and perimeter of sector of a circle and segment of a circle.,ग्रीष्मकालीन अवकाश।,ग्रीष्मकालीन अवकाश।,ग्रीष्मकालीन अवकाश।,Summer Vacation,,,Summer Vacation,,,,,,,,,
,3,QUESTION OF TRUST,,"Identify the key themes of trust, deceit, and friendship in the story.

Analyze the characters of the narrator and the thief (Horace Danby) and their actions.

Understand the consequences of dishonesty and betrayal, and how trust is a fundamental element in human relationships.

Discuss moral dilemmas through the example of Horace Danby’s situation and the twist in the story.",Circles,EXPLANATION AND PROBLEM SOLVING,Derives proofs of theorems related to the tangents of circles,पद्य खण्ड - जयशंकर प्रसाद ,"कवि परिचय, कविता परिचय, शब्दार्थ, भावार्थ तथा प्रश्नोत्तर करवाना।","विद्यार्थी कवि परिचय, कविता परिचय, शब्दार्थ, भावार्थ तथा प्रश्नोत्तर बता सकेंगे।",Summer Vacation,,,Summer Vacation,,,,,,,,,
,4,LETTER (PURCHASE & INQUIRY),,"Understand the structure and format of a formal Letter of Purchase and Inquiry.

Write a Letter of Inquiry to a supplier requesting information about goods, prices, and terms.

Write a Letter of Purchase to a seller confirming an order for specific goods.

Use appropriate tone, language, and style for formal business communication.",Surface Area and Volume,EXPLANATION AND PROBLEM SOLVING,Find surface area and volume of combination of solid figures in our surroundings.,गद्य खण्ड - लखनवी अंदाज़ ,"लेखक परिचय, वाचन करना,शब्दार्थ, भावार्थ तथा प्रश्नोत्तर करवाना।","विद्यार्थी वाचन करना,शब्दार्थ, भावार्थ तथा प्रश्नोत्तर कर सकेंगे।",ch-2 magnetic effect of electric current,explanation and discussion,underststand the magnetic effect of electric current ,"Gender, Religion and Caste",FLOW CHART,"Examine the role and differences of Gender, religion and Caste in practicing Democracy.","prqFkZikB%& tuuh rqqY;oRlyk% ]iape% ikB% &lqHkkf""krkfu ¼vUrss fnols dFkkys[kue~½xhrksins'k%",vFkZZdj.ke~ ]vU;dFkklap;ua pA,foosdsu Lothoua thforO;fefrA,,,,
,5,DETERMINERS,,"Use appropriate determiners in sentences based on context and meaning.

Recognize the position of determiners in relation to nouns in a sentence.

Correct incorrect use of determiners in written or spoken language.

Apply determiners effectively in writing to add clarity and specificity.",Statistics,EXPLANATION AND PROBLEM SOLVING,"To organize and interpret the data (related to real life) using measures of central tendency-Mean, Median and Mode",कृतिका - माता का अँचल ,लेखक और पाठ परिचय करवाना और भावार्थ समझाना तथा प्रश्नोत्तर करवाना।,विद्यार्थी भावार्थ बता सकेंगे और प्रश्नो के उत्तर दे सकेंगे।,Metals and non metals,explanation and discussion,Students will be able to differentiate between metals and non metals ,Nationalism in India,MAP ACTIVITY,Illustrate various facets of Nationalistic movements that ushered in the sense of Collective Belonging.,"prqFkZikB%& tuuh rqqY;oRlyk% ]iape% ikB% &lqHkkf""krkfu ¼vUrss fnols dFkkys[kue~½xhrksins'k%",vFkZZdj.ke~ ]vU;dFkklap;ua pA,foosdsu Lothoua thforO;fefrA,,,,
"JULY 2025 
(27 DAYS)",1,"AMANDA, MIJ THE OTTER",,"Understand the theme of the poem, focusing on childhood, imagination, and parental control.

Identify literary devices used in the poem (e.g., imagery, irony, repetition).

Analyze the contrast between Amanda’s imagination and her reality.

Interpret the tone and mood conveyed by the poet.MIJ THE OTTER Understand the main events in the narrative and the author’s purpose.

Describe the relationship between the author and Mij, focusing on trust and bonding.

Identify and explain the use of descriptive language and narrative techniques.

Analyze the challenges faced by the author in keeping and transporting the otter.",Statistics (Cont),EXPLANATION AND PROBLEM SOLVING,"To organize and interpret the data (related to real life) using measures of central tendency-Mean, Median and Mode",गद्य खण्ड - उत्साह और अट नहीं रही है ,"कविता परिचय, शब्दार्थ, भावार्थ और प्रश्नोत्तर करवाना।","कविता परिचय, शब्दार्थ, भावार्थ और प्रश्नोत्तर बता सकेंगे।",ch-2 magnetic effect of electric current,explanation and discussion,explain about properties of magnetic field lines,Nationalism in India,FLOW CHART,Evaluate the effectiveness of the strategies applied by Gandhiji and other leaders in the movements organised by him.,vuqoknizdj.ka ]leklizdj.ka¼vUrss fnols okD;iz;ksxikBue~½xhrksins'k%,okD;fuekZ.ksu v'kqf}ukeikdj.ka 'kq}ys[kua leL;klek/kkua pA,"/kkrq:ikf.k & ijLeSinh iapydkjs""kq",AI Project Cycle: Modelling,"Session: Introduction to Modelling; Activity: Teachable Machine, Practical in Lab",Understand machine learning algorithms used to train AI models.,
,2,MAKING OF SCIENTIST,,"Understand the life and achievements of Richard Ebright, highlighting the journey of a young boy becoming a successful scientist.

Identify the key qualities that contributed to Ebright’s success (e.g., curiosity, perseverance, dedication).

Analyze the role of encouragement, family support, and mentorship in personal and academic growth.

",,,,गद्य खण्ड - एक कहानी यह भी।,पाठ के सरलार्थ को समझाना और प्रश्नोत्तर करवाना।,विद्यार्थी पाठ के भावार्थ को बता सकेंगे और प्रश्नो के उत्तर दे सकेंगे।,Metals and non metals,explanation and discussion,Students will be able to use metals and non metals in daily life ,Water Resources,MAP ACTIVITY,Examine the reasons for conservation of water resource in India,"""k""Ve% ikB% &lkSSgknZ izzd``rs% 'kksHkk ¼vUrss fnols lLoj'yksdokpue~½xhrksins'k%",lLojokpua]IkkBkFkZ%] Nk=S% iBua ]vH;kl dk;ZZZa pA,"lqlaLdkjk.kka chtkjksi.ksu lg tkx:drk Hkfo"";frA",AI Project Cycle: Evaluation,Session: Evaluating the Idea! Practical in Lab,Learn the importance of evaluation and various metrics.,
,3,TREES,,"Understand the central theme of the poem – the beauty and divinity of nature, especially trees.

Identify poetic devices such as personification, rhyme scheme, and imagery used by the poet.

Interpret the poet’s admiration for nature and his belief in the divine creation of trees.

Appreciate the aesthetic and spiritual value of trees as portrayed in the poem.",,,,व्याकरण - विज्ञापन लेखन ,विज्ञापन लेखन के प्रकार और उदाहरण करवाना।,विद्यार्थी विज्ञापन लेखन कर सकेंगे।,ch-3 light,explanation and numerical practice,able to explain about reflection ,Agriculture,FLOW CHART AND MAP ACTIVITY,Examine the crucial role played by agriculture in our economy and society.,milxkZ% dr`ZokP;e~q¼vUrss fnols okD;iz;ksxikBue~½xhrksins'k%,lLojokpua]IkkBkFkZ%] Nk=S% iBua ]vH;kl dk;ZZZa pA,"lqlaLdkjk.kka chtkjksi.ksu lg tkx:drk Hkfo"";frA",Advance Python: Recap,"Session: Jupyter Notebook; Introduction to Python,Practical in Lab",Work with Jupyter Notebook and basic Python concepts.,
,4,FOOTPRINT WITHOUT FEET,,"Understand the plot, characters, and key events of the story, focusing on the concept of invisibility.

Explain the scientific idea behind the story and how it connects with science fiction as a genre.

Analyze the character of Griffin – his intelligence, misuse of science, and moral choices.

Identify the consequences of using science unethically and without responsibility.",,,,व्याकरण - पत्र लेखन ,पत्र लेखन के प्रकार और औपचारिक पत्र लेखन के उदाहरण करवाना।,विद्यार्थी औपचारिक पत्र लेखन कर सकेंगे।,Ch - How do organisms reproduce ,Explanation,The student will develop connection about the importance of topics to the real world.,Agriculture,FLOW CHART AND MAP ACTIVITY,Analyse the challenges faced by the farming community in Indi,lIre% ikB%&fofp=% lk{kh ¼vUrss fnols dFkkys[kue~½xhrksins'k%,okpukH;kl% ]IkkBkFkZ%] Nk=S% iBua ]vH;kl dk;ZZZa pA,fofp=lk{khlUnHksZ Kkuo/kuZfefrA,Advance Python: Basics,"Session: Python Basics; Hands-on exercises,Practical in Lab",Write basic Python programs using fundamental concepts.,
,5,"FORMAL LETTER, SUBJECT VERB AGREEMENT",,"Understand the basic rule that a singular subject takes a singular verb and a plural subject takes a plural verb.

Identify correct subject-verb agreement in simple and complex sentences.

Recognize and correct common errors in subject-verb agreement.

Apply rules of agreement with collective nouns, indefinite pronouns, compound subjects, and intervening phrases.",,,,व्याकरण - पत्र लेखन ,अनौपचारिक पत्र लेखन के उदाहरण करवाना।,विद्यार्थी अनौपचारिक पत्र लेखन कर सकेंगे।,ch-3 light,explanation and numerical practice,explain about refraction and refractive index of medium,Political Parties,ROLE PLAY,Understand the process of parties getting elected,deZokP;e~ ]HkkookP;e~ ]okP;ifjorZua ¼vUrss fnols okD;iz;ksxikBue~½xhrksins'k%,okD;fuekZ.ksu v'kqf}ukeikdj.ka 'kq}ys[kua leL;klek/kkua pA,okP;kuka Kkuo/kZZusu lg tkx:drkdj.kaA,Data Science: Introduction,"Session: Data Science & Applications,Practical in Lab",Define the concept of Data Science and its applications.,
"AUGUST 2025 
(23 DAYS)",1,MADAM RIDES THE BUS,,"Understand the main idea of the story, focusing on a young girl’s curiosity and desire for adventure.

Describe the character of Valli – her innocence, determination, and growing sense of maturity.

Identify key events in the plot and how they contribute to Valli’s experience and personal growth.

Analyze how Valli’s bus journey reflects broader themes like independence, exploration, and childhood.",,,,व्याकरण - वाच्य ,"वाच्य का अर्थ, प्रकार, परिभाषा और उदाहरण करवाना।","वाच्य का अर्थ, प्रकार, परिभाषा और उदाहरण बता सकेंगे।",ch-4 human eye ,explanation and numerical practice,explain about defects in human eye,Money and Credit,VISIT TO LOCAL BANK,Summarise the significance and role of self-help groups in the betterment of the economic condition of rural people/ women.,"ijh{kkn``""V~;k lTtk] okP;=;a ¼vUrss fnols okD;iz;ksxikBue~½xhrksins'k%",okD;fuekZ.ksu v'kqf}ukeikdj.ka 'kq}ys[kua leL;klek/kkua pA,okP;kuka Kkuo/kZZusu lg tkx:drkdj.kaA,Data Science: Getting Started,"Session: Data Collection and Access; Activity: Rock, Paper & Scissors Game, Practical in Lab",Understand data acquisition and exploration.,
,2,"SERMON AT BENARES,FOG",,"Understand the teachings of Gautama Buddha on life, death, and suffering.

Explain the concept of detachment and the impermanence of life as conveyed in the sermon.

Analyze the story of Kisa Gotami and how it illustrates the universal nature of grief and loss.

Reflect on the moral and philosophical message of the text.

Appreciate the spiritual and cultural context of Buddha’s teachings. FOG POEM Understand the metaphorical comparison of fog to a cat.

Identify literary devices such as metaphor and personification used in the poem.

Interpret the mood, tone, and imagery of the poem.

Appreciate the poet’s concise and imaginative style.

Analyze how the poem captures the mysterious and silent nature of fog.",,,,व्याकरण - वाक्य भेद ,"वाक्य की परिभाषा, प्रकार और उदाहरण करवाना।","वाक्य की परिभाषा, प्रकार और उदाहरण बता सकेंगे।",Acid base and salt,explanation and discussion,Students will be able to differentiate between acid and bases,The Making of a Global World,PROJECT,Summarise the changes that transformed the world in different areas.,v’Ve% ikB%&lwDr;% ]izR;;k% erqi~ Rok ]ry~¼vUrss fnols izR;;iz;ksxikBue~½xhrksins'k%,"ljykr~ dkfBU;a izfr ,oa vU;ksnkgj.klaxzg.ka pA",vO;;inkfu ¼vUrss fnols vO;;iz;ksxikBue~½,Data Science: Python Packages,"Session: Python for Data Sciences using NumPy, Pandas, Matplotlib,Practical in Lab",Use Python libraries for data analysis and visualization.,
,3,"NACKLACE, BHOLI",,"Understand the plot, characters, and central theme of materialism and vanity.

Analyze the character of Mme. Loisel and her desire for a luxurious life.

Identify the use of irony and how it contributes to the story's twist ending.

Reflect on the moral lesson about contentment and honesty. BHOLI Understand the story of Bholi, a girl who overcomes physical and emotional challenges.

Analyze the transformation of Bholi from a timid child to a confident young woman.

Identify key social issues such as education, gender inequality, and dowry.

Appreciate the role of education and encouragement in personal empowerment.",,,,पद्य खण्ड - यह दंतुरित मुस्कान ,"कवि और कविता परिचय, शब्दार्थ, भावार्थ समझाना।","विद्यार्थी कवि और कविता परिचय, शब्दार्थ, भावार्थ बता सकेंगे।",Ch - Heredity ,Explanation,The student will develop connection about the importance of topics to the real world.,Minerals and Energy Resources,MAP ACTIVITY,Differentiates between the conventional and nonconventional sources of energy.,"uoe% ikB%&HkwdEifoHkhf""kdk% ¼vUrss fnols dFkkys[kue~½xhrksins'k%",ikBokpukH;kl%]IkkBkFkZ%] Nk=S% iBua ]vH;kl dk;ZZZa pA,"HkwdEifo""k;s KkL;fUr¼vUrss fnols dFkkys[kue~½",Data Science: Concepts,"Session: Statistical Learning & Data Visualization, Practical in Lab",Understand statistical concepts and apply them.,
,4,FORMAL LETTER,,"Understand the purpose and importance of formal letter writing in various real-life contexts (e.g., applications, complaints, requests, enquiries).

Identify and apply the correct format and structure of a formal letter, including sender’s address, date, receiver’s address, subject, salutation, body, complimentary close, and signature.",,,,पद्य खण्ड - यह दंतुरित मुस्कान ,प्रश्नोत्तर करवाना ,विद्यार्थी प्रश्नोत्तर बता सकेंगे।,ch-4 human eye ,explanation and numerical practice,able to explain about atmosperic refraction,Print culture and the Modern World,PRESENTATION,Summarise the role of Print revolution and its impact,Bd~~ ] bu~ ]Mhi~ izR;;k%~¼vUrss fnols izR;;iz;ksxikBue~½xhrksins'k%,"ljykr~ dkfBU;a izfr ,oa vU;ksnkgj.klaxzg.ka pA",iq:’k&ydkjn`’V~;k la”kks/kue~ ¼vUrss fnols okD;iz;ksxikBue~½,Computer Vision: Introduction,"Session: Introduction to Computer Vision; Applications, Practical in Lab",Define the concept of Computer Vision and its applications.,
,5,ANALYTICAL PARAGRAPH,,"Understand the purpose of an analytical paragraph: to break down an idea, event, or concept into its parts and explain how these parts contribute to the overall meaning or effect.

Identify key components of an analytical paragraph, including the topic sentence, explanation, evidence, and concluding sentence.

Apply critical thinking to analyze and interpret texts, ideas, or events in depth.

Use clear, concise, and coherent writing to explain the analysis effectively.",,,,व्याकरण - निबंध लेखन।,निबंध लेखन के उदाहरण करवाना।,विद्यार्थी निबन्ध लेखन कर सकेंगे।,Acid base and salt,explanation and discussion,Students will be able to use acids and bases in daily life ,Manufacturing Industries,PROJECT,Analyse the relation between the availability of raw material and location of the industry,i=ikBue~ ¼vUrss fnols i=ikBue~½xhrksins'k%,"ljykr~ dkfBU;a izfr ,oa vU;ksnkgj.klaxzg.ka pA",“yksdkUo;%] iz”ufuekZ.ka ¼vUrss fnols okD;iz;ksxikBue~½,Computer Vision: Concepts,"Session: Understanding CV Concepts; Activities: Emoji Hunt, RGB Calculator, Practical in Lab","Understand image representation, feature extraction, object detection.",
"SEPTEMBER 2025
(21 DAYS)",1,PROPOSAL,,,,,,पद्य खण्ड - संगतकार ,"कवि परिचय और कविता परिचय, शब्दार्थ, भावार्थ समझाना और पाठ्य पुस्तक के प्रश्नोत्तर करवाना।","विद्यार्थी कवि परिचय और कविता परिचय, शब्दार्थ, भावार्थ और पाठ्य पुस्तक के प्रश्नोत्तर बता सकेंगे।",,,,Manufacturing Industries,PROJECT,Enumerate the impact of manufacturing industries on the environment and develop strategies for sustainable development of the manufacturing sector.,n”ke% ikB%& vU;ksDr;% ¼vUrss fnols lLoj'yksdokpue~½xhrksins'k%,n”ke% ikB%& vU;ksDr;% ¼vUrss fnols lLoj'yksdokpue~½,n”ke% ikB%& vU;ksDr;% ¼vUrss fnols lLoj'yksdokpue~½,Computer Vision: OpenCV,"Session: Introduction to OpenCV; Hands-on: Image Processing, Practical in Lab",Use Python libraries like OpenCV for image processing.,
