DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS IV ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,EVS,,,SANSKRIT,,,COMPUTER ,,
"AUGUST 2025 
(23 DAYS)",1,Periodic 1st,,,पाठ- 7 दान का हिसाब,छात्रों के साथ दान का महत्व और उसके प्रभाव पर चर्चा,सेवा एवं दान के भाव जागृत होना,PT 1 Exam,,,ch -9 CHANGING FAMILIES ,different ages of life show in picture ,importance of each age,क्रिया ,व्याख्या विधि:,व्याकरण ज्ञानं ,Ch4 MS Word 2021,Lab Activity -  MS Word 2021,Students will able to move text from one place to another place
,2,"Unit 3 Run poem,Unit 3-Nasruddin's aim","recite the poem book exercises and new words ,word meaning,book exercises, reading ","enhance their reading skills, vocabulary ,,learn the moral words, Understand the theme og the story ", पाठ 7 वचन,वचन के चित्र बनाना ),वचन का ज्ञान होना ,Ch 5 The way the world looks,different view activity,"students will able to identify the different views of things from top,bottom, front and back","ch -10 HU TU TU ,HU TU TU ",list of games,importance of games,अव्यय ‌।               घाटिका ज्ञानं                 ,व्याख्या विधि:,व्याकरण ज्ञानं ,Ch4 MS Word 2021,Lab Activity -  MS Word 2021,Students will able to copying & finding the text
,3," Grammar Ch-9  Unit 4 Reader Why, Alice in wonderland","word meaning,book exercises, reading ","enhance their reading skills,learn and identify new words new words , learn to obey their parents", पाठ -8 कौन ( कविता),कविता का सस्वर वाचन ,मौखिक कौशल का विकास,Ch 5 The way the world looks,draw the picture according to given view,students will able to solve word problems,ch -11 THE VALUE OF FLOWERS,draw the picture of different flowers ,uses of flowers ,Revision for Half Yearly Exam,,,Revision for Half Yearly Exam,,
,4,"Grammar Ch-14,15- Adjectives,Comparision of Adjectives","definition, book exercises ","Students will identify the kinds  of adjectives , Describe and learn new vocabulary "," पाठ -9 स्वतंत्रता की ओर , पाठ 8 सर्वनाम","स्वतंत्रता सेनानियों के नाम लिखने, सर्वनाम लेखन कार्य",स्वतंत्रता के महत्व को समझना,ch 6 The junk seller,guess the price of the product class activity,students will able convert rupees into paise do addition and subtraction of money,ch 12 CHANGING TIME ,draw a picture of clock,except changing  and respect ,Revision for Half Yearly Exam,,,Revision for Half Yearly Exam,,
,5,"Unit 5-Reader Don't be afraid of the dark,poem Hellen Keller","definition, book exercises ","Students will able to express the story of the chapter, they will able to relate the storywith day to day life,Learn vocabulary","पाठ 19 चित्र लेखन, पाठ 22 कहानी लेखन",चित्र लेखन व कहानी लेखन के अनुसार चित्र बनाना ,चित्र व कहानी लेखन कौशल का विकास,ch 6 The junk seller,,students will able to solve word problem,REVISION ,,,Revision for Half Yearly Exam,,,Revision for Half Yearly Exam,,
"SEPTEMBER 2025
(21 DAYS)",1,Revision of Reader Unit 1 to 4,Reading  and Explanation book exercises ,,पाठ- 10 थप्प रोटी थप्प दाल,विभिन्न अनाजों के नाम लिखने ,निडरता एवं विश्वास का भाव का विकास ,Ch 7 Jugs and Mugs,guess the capacity of the jar activity,students will able to convert the unit of capacity litre into ML and milliliter into litre,ch -13 A RIVER'S TALE,picture of river ,keep clean source of water ,Revision for Half Yearly Exam,,,Revision for Half Yearly Exam,,
,2,"Revision of term 1 Grammar ch-11 Personal pronoun With Revision , Ch -12 Possessive pronouns  ",definition and book exercises ,"Students will able to learn,identify the pronoun and it's uses","पाठ 9 विशेषण , पाठ 10 क्रिया, पाठ 11 अव्यय"," विशेषण , क्रिया,  अव्यय के उदाहरण का अभ्यास","विशेषण , क्रिया,  अव्यय का ज्ञान होना ",Ch 7 Jugs and Mugs,guess the capacity of your water bottle class activity ,students will able to add subtract different units and solve story sums,ch -14 BASWA'S FARM,picture of a crop,importance of crops,Revision for Half Yearly Exam,,,Revision for Half Yearly Exam,,
,3,Revision of Term 1,,,                   अर्धवार्षिक परीक्षा हेतु अभ्यास कार्य ,,,Revision for Half yearly exam ,,,REVISION ,,,Half yearly exam,,,Half yearly exam,,
,4,Revision of Term I  Reader and grammar,,,                   अर्धवार्षिक परीक्षा हेतु अभ्यास कार्य ,,,Revision for Half yearly Exam,,,REVISION ,,,,,,,,
,5,"Revision of Term I paragraph writing, story writing ",write some stories and paragraph ,students will learn some stories with their moral,                   अर्धवार्षिक परीक्षा हेतु अभ्यास कार्य ,,,Dussehra break,,,REVISION ,,,,,,,,
"OCTOBER 2025 
(19 DAYS)",1,Term 1Exam,,,                           अर्धवार्षिक परीक्षा ,,,Half yearly Exam ,,,TERM 1EXAM,,,७.चतुर:श्रृगाल:,कथा -लेखनं ,"कल्पना-शीलतायाम् रचनात्मक-कौशल्य-विकासः""।कल्पना-शीलतायाम् रचनात्मक-कौशल्य-विकासः""।",ch 5 Working in Word 2021,Lab activity - MS Word 2021,Students will able to use character formatting
,2,Term 1 Exam,,,अर्धवार्षिक परीक्षा ,,,Half yearly Exam ,,,TERM 1EXAM,,,८.कलह: नाशस्य कारणं,अनुच्छेद लेखनं ,शब्द रूपाणाम् ज्ञानम् ,ch 5 Working in Word 2021,Lab activity - MS Word 2021,Students will able to use change text alignment
,3,Diwali Break ,,, दीपावली अवकाश,,,Ch 8 Carts and Wheels,draw 10 things which are in circle shape,students will able to find the circumference of the circle draw pictures used to trace the circle draw pictures which are in round shape,ch -15 FROM MARKET TO HOME,visit a Market with your father ,availability of things,९.मेट्रोयानम्,व्याख्या विधिः च मनोवैज्ञानिक विधि:,मेट्रो यानस्य महत्वं,ch 5 Working in Word 2021,Lab activity - MS Word 2021,Students will able to use bullets and numbers
,4,Unit 6 Hiawatha and The Scholar's Mother tongue ,"Reading and Explanation ,recite the poem book exercises , new words,Questionaire ","Students will be able toenhance their reading skills, vocabulary,and Understand the theme of the chapter ",पाठ 17 पत्र लेखन और पाठ 18 अनुच्छेद लेखन  ,अनुच्छेद लेखन और पत्र लेखन कार्य करना , लेखन कौशल का विकास ,Ch 8 Carts and Wheels,draw a circle using rope ground activity,student will able to find diameter and radius using formula,ch -16 A BUSY MONTH,name of five birds ,importance of birds in our life,उपसर्गा :,व्याकरण ज्ञानं ,उपसर्गयुक्तशब्दानां ज्ञानं ,Ch 6 MS PowerPoint 2021,Lab activity - MS PowerPoint 2021,Students will able to know about MS PowerPoint
,5,"Gr Ch-16 and 17- Articles, Verbs andTenses","Explanation  with examples ,definition,  book exercises ","students will learn and differentiate the use of differenr articles, Develop their knowledge by learning kinds of verbs  and uses of tenses y enhancing their grammatical skills", कविता -11 पढ़क्कू की सूझ (कविता),कविता का सस्वर वाचन ,कविता लेखन कार्य ,Ch 9 Halves and Quarters,draw the circle and divide into 4 parts and name the parts,students will able to write the numbers in fraction and divide the things in fraction,REVISION ,,,सन्धि -प्रकरणम् ,सन्धि नियमाणाम् अध्ययन ,व्याकरण ज्ञानं ,Ch 6 MS PowerPoint 2021,Lab activity - MS PowerPoint 2021,Students will able to tell steps to launch the application
"NOVEMBER 2025 
(24 DAYS)",1,"GrCh- 18 & 19 Simple present tense,present continuous","Explanation  with examples ,definition,  book exercises ",enhance their grammatical skills and different uses of tenses ,"पाठ 12, शब्द सम्पदा - पर्यायवाची शब्द, विलोम शब्द ,अनेक शब्दों के लिए एक शब्द ",शब्दों का मौखिक अभ्यास कार्य,शब्द भंडार में वृद्धि,Ch 9 Halves and Quarters,draw five picture which can be divided into mirror half,students will able to solve word problems based on fraction,ch -17 NANDITA in MUMBAI ,draw the picture of don't waste food and water ,life of slums,संख्यावाची शब्दा :,संख्यानाम् शब्दरूपाणि ,जीवने अंकाना महत्वं,Ch 6 MS PowerPoint 2021,Lab activity - MS PowerPoint 2021,Students will able to create powerpoint presentation
,2," Gr Ch 20 and 21,Simple past tense and Past Continuous","definition, uses , pattern book exercises ",students will learn kinds of tenses and their uses in our daily life ,"पाठ 12, शब्द सम्पदा - अनेकार्थी शब्द, समरूपी भिन्नार्थक शब्द ",शब्दों का मौखिक अभ्यास कार्य,शब्द भंडार में वृद्धि,Ch 10Pkay with Patterns,draw any five pattern using different shapes,students are able to fill the pattern complete the given pattern,ch -18 TOO MUCH WATER TOO LITTLE WATER,make a chart dirty and clean water,don't make water dirty,पर्याया : एवं विपर्याया :,नवीन शब्दानाम् निर्माणम्,व्याकरण ज्ञानं ,Ch 6 MS PowerPoint 2021,Lab activity - MS PowerPoint 2021,Students will able to create powerpoint presentation
,3,"Gr  ch-22,23and 24  Modals, Subject verb agreement andAdverbs ,"," Explanation of definition, uses , Practice of book exercises ","students will learn kinds of Adverbs, uses of helping verbs and Modals and their uses in our daily life ", पाठ- 12 सुनीता की पहिया कुर्सी,सुनीता पत्र को लिखना,लेखन कौशल का विकास ,Ch 10Pkay with Patterns,make any five number pattern,students are able to make their own patterns,ch -19 ABDUL IN GARDEN ,picture of fruit and vegetables ,importance of garden in our society ,अपठित गद्यांश:,व्याकरण ज्ञानं ,व्याकरण ज्ञानं ,Ch 7 Internet surfing & security,Lab activity ,Students will able to tell  history of internet
,4,"Unit 7-A watering Rhyme,The giving Tree and The Donkey","Reading and Explanation ,recite the poem book exercises , new words,Questionaire  ","Students will be able toenhance their reading skills, vocabulary,and Understand the theme of the chapter  ","पाठ 13 विराम चिह्न, पाठ 14 मुहावरे",मुहावरे चार्ट पर बनाना ,अभिव्यक्ति कौशल का विकास,Ch 11 Tables and Shares,divide the things into equal parts activity,students will able to do multiplication of 3 4 and 5 digits,ch -20 EATING TOGETHER ,things share with your friends ,sharing and caring ,संवाद लेखनं,व्याकरण ज्ञानं ,व्याकरण ज्ञानं ,Ch 7 Internet surfing & security,Lab activity ,Students will able to tell advantages & disadvantages of internet
,5,Revision of Pt-2,,, PT 2 परीक्षा हेतु अभ्यास कार्य ,,,Revision for PT 2 Exam,,,REVISION ,,,वाक्य -निर्माणं,व्याकरण ज्ञानं ,व्याकरण ज्ञानं ,Ch 7 Internet surfing & security,Lab activity ,Students will able to know requirements for the internet
"DECEMBER 2025
(21 DAYS)",1,PT-2,PT-2,PT-2, PT 2 परीक्षा  ,,,PT 2 Exam ,,,REVISION ,,,शब्दकोश :,,शब्द  ज्ञान वर्धयितुं ,Ch 7 Internet surfing & security,Lab activity ,Students will able to know best practice for online safety
,2,"Gr -Ch-25,26,27 Prepositions,Conjucntionsand Pancuation",definition and book exercises ,,पाठ 15 अशुद्धि शोधन,शुद्ध शब्दों का उच्चारण कार्य,शुद्ध लेखन क्षमता का विकास,Ch 11 Tables and Shares,divide the given thing into equal rows and column,student will able to solve word problem based on multiplication,PT 2 EXAM,,,१०केरल प्रदेश :,अनुच्छेद -लेखनं ,लृकाराणां ज्ञानं ,Ch 8 AI,Lab activity ,Students will able to tell What is AI?
,3,"Unit 8-Books, Going to buy a new book","Reading and Explanation ,recite the poem book exercises , new words,Questionaire  ","Students will be able toenhance their reading skills, vocabulary,and Understand the theme of the chapter  ",पाठ 17 पत्र- लेखन,पत्र- शब्द लेखन कार्य ,पत्र लेखन कौशल का विकास,CH 12 How heavy? How light? ,guess the weight of given products in gram and kilogram,students will able to convert the units gram into kilogram kilogram into gram,ch -21 FOOD AND FUN,picture of halwa chana,understand the concept of langar,,winter vacation ,,winter vacation ,,
,4,"Gr- Ch-28, 29,and 31-Vocabulary,Reading skills and Reading comprehension",Students will learn new words  Book exercises ,"enhance their reading skills, vocabulary ,",पाठ 20 सूचना लेखन,सूचना लेखन कार्य ,सूचना लेखन कौशल का विकास,winters vacation ,,,ch -22 THE WORLD IN MY HOME,make a picture of tv ,importance of communication ,,winter vacation ,,winter vacation ,,
,5,Winter break ,,,                                      शीतकालीन अवकाश,,,Winter vacation ,,,Winter break,,,,winter vacation ,,winter vacation ,,
"JANUARY 2026
 (14 DAYS)",1,Winter break ,,,                                      शीतकालीन अवकाश,,,winter vacation ,,,Winter break,,,,winter vacation ,,winter vacation ,,
,2,Winter break ,,,                                      शीतकालीन अवकाश,,,winter vacation ,,,ch -23 POCHAMPALLI,draw the picture of weaved clothe,importance of weavers ,,winter vacation ,,winter vacation ,,
,3,"Unit 9- The Naughty boy,Pinocchio ",Explanation of the chapters with new words and practice exercises with question and answers,Enhance their reading skills and new words with exercises  and learn good habits,                                      शीतकालीन अवकाश,,,Winter Vacation ,,,ch -24 HOME AND ABROAD,draw the picture of different currency ,understand different currency ,,winter vacation ,,,,
,4,"Picture composition, Reading comprehension and Vocabulary ",Explanation with exercises and examples of new words ,Students will increase their reading and writing skills and enhance their vocabulary.,पाठ -13 हुदहुद ,पक्षियों के चित्र बनाना ,रंगों की पहचानने की क्षमता का विकास ,CH 12 How heavy? How light? ,Extra sums,students will able to do addition subtraction and word problems,ch -25 SPICY RIDDLES ,list of spices ,importance of spices in food ,वायुयानं ,लृकाराणां ज्ञानं ,भाषा कौशल वर्धयितुं ,,,
,5,Revision of Term 2,Class test of Unit 6,Students will overcome their lackings,पाठ- 14 मुफ़्त ही मुफ़्त,कहानी सुनाना ,मौखिक अभिव्यक्ति में वृद्धि,CH 13 Fields and Fences,major the boundary of the given shape using thread,students will able to find area of square and rectangle using formula,REVISION ,,,पुनरावृत्ति ,,,,,
"FEBRUARY 2026
 (24 DAYS)",1,Revision of Term 2,Class test of Unit 7,Students will overcome their lackings,पाठ- 14 मुफ़्त ही मुफ़्त,कहानी सुनाना ,मौखिक अभिव्यक्ति में वृद्धि,CH 13 Fields and Fences,Extra sums,students will able to find area of perimeter and area of rectangle,CH -26 DEFENCE OFFICER ,draw the picture army man, women power ,पुनरावृत्ति ,,,,,
,2,Revision of Term 2,Unit 8 in reader,Students will overcome their lackings,वार्षिक परीक्षा हेतु अभ्यास कार्य ,,,Ch 14 Smart Charts,make a model of bar graph,students will able to solve sums on pictograph pie chart bar graph,CH -27 CHUSKIT GOES TO SCHOOL,draw the picture of boy,help makes life other easier ,,,,,,
,3,Revision of Term 2,Unit 9,Students will overcome their lackings,वार्षिक परीक्षा हेतु अभ्यास कार्य ,,,Revision for Annual exam ,,,REVISION ,,,,,,,,
,4,Revision of Term 2,Grammar ,Students will overcome their lackings,वार्षिक परीक्षा हेतु अभ्यास कार्य ,,,Revision for Annual exam ,,,REVISION ,,,,,,,,
"MARCH 2026
 (23 DAYS)",1,Term 2 Exams ,,,वार्षिक परीक्षा ,,,Annual exams,,,REVISION ,,,,वार्षिक परीक्षा ,,Annual exams,Annual exams,Annual exams
,2,Term 2 Exams ,,,वार्षिक परीक्षा ,,,Annual exams,,,TERM 2 EXAM ,,,,वार्षिक परीक्षा ,,Annual exams,Annual exams,Annual exams
,3,Term 2 Exams ,,,वार्षिक परीक्षा ,,,Annual exams,,,TERM 2 EXAM ,,,,वार्षिक परीक्षा ,,Annual exams,Annual exams,Annual exams
,4,,,,वार्षिक परीक्षा ,,,Annual exams,,,TERM 2 EXAM ,,,,,,,,
,5,,,,वार्षिक परीक्षा ,,,Annual exams,,,,,,,,,,,
,,Subject Teachers: Anita Nangalia & Anita Rana,,,Subject teachers- Anita Sharma and Jamuna Saini,,,,,,,,,,,,,,
