DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS XI-COMMERCE ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,MATHEMATICS,,,ECONOMICS ,,,ACCOUNTANCY ,,,BUSINESS STUDIES,,,ENTREPRENEURSHIP,,,INFORMATICS PRACTICES,,,PHYSICAL EDUCATION ,,
,4,Summer Vacation,,,,,,,,,Summer Vacation,,,SUMMER VACATION,SUMMER VACATION,SUMMER VACATION,Summer Vacation,Summer Vacation,Summer Vacation,SUMMER VACATION ,,,,,
,5,Summer Vacation,,,,,,,,,Summer Vacation,,,SUMMER VACATION,SUMMER VACATION,SUMMER VACATION,Summer Vacation,Summer Vacation,Summer Vacation,SUMMER VACATION ,,,,,
"JUNE-2025
 (15 DAYS)",1,Summer Vacation,,,,,,,,,Summer Vacation,,,SUMMER VACATION,SUMMER VACATION,SUMMER VACATION,Summer Vacation,Summer Vacation,Summer Vacation,SUMMER VACATION ,,,,,
,2,Summer Vacation,,,,,,,,,Summer Vacation,,,SUMMER VACATION,SUMMER VACATION,SUMMER VACATION,Summer Vacation,Summer Vacation,Summer Vacation,SUMMER VACATION ,,,,,
,3,Summer Vacation,,,,,,,,,Summer Vacation,,,SUMMER VACATION,SUMMER VACATION,SUMMER VACATION,Summer Vacation,Summer Vacation,Summer Vacation,SQL Queries,"Group by in SQL , fecthing data after making group of columns",Students will be able to fetch data from DB as per group created by them,,,
,4,Note-Making,Explanation & Practice,- will be able to prepare notes on any topic or subject - will be able to summarise the content for better learning,,,,,,,"Preparation of Ledger, T/B and BRS:  •	Ledger: Format, posting from journal, cash book and other subsidiary books, balancing of accounts
•	Trial Balance: objective and preparation
•	Bank Reconciliation statement: need and preparation. Corrected cash book balance.
",Lecture and  Demonstration,Students will be able to undrstand and prepare Ledger and Trail Balance as an integeral part of accounting process. Students will also be able to draft BRS and equalise the different balances of Pass Book and Cash Book.,"Ch 3 : Public sector and private sector enterprises –
  Concept","Explanation , Discussion, Reading","Develop an understanding of Public sector
  and private sector enterprises",Unit 2 : An Entrepreneur ,Explanation and discussion,Motivation and Various types of Entrepreneurs,SQL Queries,"Group by in SQL , fecthing data after making group of columns, Practical on SQL server",Students will be able to fetch data from DB as per group created by them,,,
,5,   Ch2: The Address(Snapshots)    Poen 2: The labunum to,"Reading, Explanation & Discussion",- will know the devastating effect of war - will be able to know the true faces of people - will understand the value of things that matter the most in life - corealative process and unconditional love of a mother,,,,,,,To be continued from past week,Lecture and  Demonstration,Students will be able to undrstand and prepare Ledger and Trail Balance as an integeral part of accounting process. Students will also be able to draft BRS and equalise the different balances of Pass Book and Cash Book.,"Ch 3 Forms of public sector enterprises: Departmental
  Undertakings, Statutory Corporations and
  Government Company.","Explanation , Discussion, Reading","Develop an understanding of Public sector
  and private sector enterprises",Unit 2 : An Entrepreneur ,Explanation and discussion,"Competencies, Ethical Environ.& Entrepreneurship & Intrapreneurship",SQL Functions,"Session: Using built-in SQL functions(Text,maths, date)",Utilize functions for data analysis.,,,
"JULY 2025 
(27 DAYS)",1,Ch3: The mother's Day(Snapshots),"Reading, Explanation & Discussion",- will understand the hard work and struggle of women in house - develop a sense of equality - will cooperate female memebrs  in house,,,,,,,"Depreciation Provisions and Reserves: •	Concept, needs and factors affecting depreciation,
•	Methods of computation of depreciation (Continued…)
",Lecture and  Demonstration,Students will be able to undrstand depreciation and its causes and effect on assets. They will aso be able to calculate and record depreciation in the books of accounts.,"Ch4 : Business services – meaning and types. Banking:
  Types of bank accounts - savings, current,
  recurring, fixed deposit and multiple option deposit
  account","Explanation , Discussion, Reading","Develop an understanding of the different
  services provided by banks and Insurance",Unit 3: Entrepreneurial Journey ,Explanation and discussion,Ways of Idea Generation ,SQL Functions,"Session: Using built-in SQL functions(Text,maths, date) Practical on SQL server",Utilize functions for data analysis.,,,
,2,Poem3: The voice of the rain,"Reading, Explanation & Discussion",- will know the life giving nature of rain - water cycle and its importance - similarity of music and rain,,,,,,,"•	Accounting treatment of depreciation: by charging to asset account, by creating provision for depreciation 
•	account
•	Treatment of disposal of assets
•	Provision and reserves: concept, objective and difference between provision and reserves, •	Types of reserves: Revenue reserve, capital reserve, general reserve, specific reserve and secrete reserves
",Lecture and  Demonstration,Students will be able to undrstand depreciation and its causes and effect on assets. They will aso be able to calculate and record depreciation in the books of accounts. They will also be understanding the meaning and relevence of PROVISIONS and RESERVES in the books of accounts.,"Ch 4 : Banking services with particular reference to Bank
  Draft, Bank Overdraft, Cash credit. E-Banking
  meaning, Types of digital payments","Explanation , Discussion, Reading","Develop an understanding of the different
  services provided by banks and Insurance",Unit 3: Entrepreneurial Journey ,Explanation and discussion,Concept & Types of Feasibility Studies ,SQL Joins,Session: Combining data from multiple tables,Perform complex queries using JOIN operations.,,,
,3,Classified Advertisements,Explanation & Practice,- will understand the format and types of classified adv. - will be able to prepare adv. as per need,,,,,,,To be continued from past week,Lecture and  Demonstration,Students will be able to undrstand depreciation and its causes and effect on assets. They will aso be able to calculate and record depreciation in the books of accounts. They will also be understanding the meaning and relevence of PROVISIONS and RESERVES in the books of accounts.,"Ch 4 : Insurance – Principles. Types – life, health, fire and
  marine insurance– concept","Explanation , Discussion, Reading","Develop an understanding of Insurance and 
  services provided by Insurance company.",Unit 3: Entrepreneurial Journey ,Explanation and discussion,Draft a basic business Plan ,SQL Joins,"Session: Combining data from multiple tables, Practical on SQL server",Perform complex queries using JOIN operations.,,,
,4,Revision for PT-1 Exam, ,,,,,,,,Revision for PT-1 Exam,,,,,,Unit 3: Entrepreneurial Journey ,Explanation and discussion,Reason for Success of a Business Plan,Introduction to Python,Session: Basics of Python programming,"Understand Python syntax, variables, and data types.",,,
,5,Revision for PT-1 Exam,,,,,,,,,Revision for PT-1 Exam,,,"Ch 5 : E - business: concept, scope and benefits","Explanation , Discussion, Reading","They can give the meaning of e-business.
  ● Discuss the scope of e-business.
  ● Appreciate the benefits of e-business
  ● Distinguish e-business from traditional
  business.",Unit 3: Entrepreneurial Journey ,Explanation and discussion,Reason for Failure of a Business Plan ,Control Structures,Session: if-else statements,Implement decision-making in programs.,,,
"AUGUST 2025 
(23 DAYS)",1,PT- Examination ,,,,,,,,,PT- Examination ,,,"Ch 6 Concept of social responsibility
  Case for social responsibility
  Responsibility towards owners, investors,
  consumers, employees, government and
  community.
  Role of business in environment protection","Explanation , Discussion, Reading","State the concept of social responsibility.
  Appreciate the role of business in
  environment protection.",Unit 4 : Entrepreneurship As Innovation and Problem Solving ,Explanation and discussion,Role of Entrepreneur as Problem Solver,Loops,Session: for and while loops,Perform repetitive tasks using loops.,,,
,2, Ch4: The Adventure(Hornbill),"Reading, Explanation & Discussion",-will understand the significance of small incidents in life - will be able to consider various possbilities in life - ,,,,,,,"Accounting for Bills of Exchange: •	Bills of exchange and promissory note: definition, features, parties, specimen and distinction
•	Important terms related to bills of exchange and promissory note,
•	Accounting treatment of bill transactions
",Lecture and  Demonstration,Students will be able to understand the meaning and common practices related to Bills of exchange in day to day business process. They will also be able to record the transactions related to BE in the books.,,,,Unit 4 : Entrepreneurship As Innovation and Problem Solving ,Explanation and discussion,Appreciate role of Global and Indian Innovation ,Lists,Session: Creating and manipulating lists,Store and process collections of data.,,,
,3,Poem4: Childhood(Hornbill),"Reading, Explanation & Discussion",- will understand the life and hypocrite attitude of people - will enjoy their childhood,,,,,,,To be continued from past week,Lecture and  Demonstration,Students will be able to understand the meaning and common practices related to Bills of exchange in day to day business process. They will also be able to record the transactions related to BE in the books.,"Ch 7 : Business finance: Concept and Importance
  Owners’ funds- equity shares, preferences share,
  retained earnings, Global Depository receipt (GDR),
  American Depository Receipt (ADR) and
  International Depository Receipt (IDR) – concept","Explanation , Discussion, Reading","Understand the meaning, nature and importance of
  business finance.",Unit 4 : Entrepreneurship As Innovation and Problem Solving ,Explanation and discussion,Use of Technology ,Dictionaries,Session: Creating and manipulating dictionaries,Use key-value pairs for data storage.,,,
,4,Poster-Making,Explanation & Practice,- will know how to prepare poster - will learn the format and contents of a poster - will be able to draw posters,,,,,,,To be continued from past week,Lecture and  Demonstration,Students will be able to understand the meaning and common practices related to Bills of exchange in day to day business process. They will also be able to record the transactions related to BE in the books.,,,,Unit 4 : Entrepreneurship As Innovation and Problem Solving ,Explanation and discussion,Use of Digitization ,Dictionaries,"Session: Creating and manipulating dictionaries, Practical on IDLE",Use key-value pairs for data storage.,,,
,5,Speech,"Explanation, Discussion & Presentation",- will be able to describe a topic verbally - will be able to consider any topic and to present their ideas and views on it,,,,,,,To be continued from past week,Lecture and  Demonstration,Students will be able to understand the meaning and common practices related to Bills of exchange in day to day business process. They will also be able to record the transactions related to BE in the books.,"Ch 7 : Business finance: Concept and Importance
  Owners’ funds- equity shares, preferences share,
  retained earnings, Global Depository receipt (GDR),
  American Depository Receipt (ADR) and
  International Depository Receipt (IDR) – concept","Explanation , Discussion, Reading","Classify the various sources of funds into
  owners’ funds.
  ● State the meaning of owners’ funds.
  ● Understand the meaning of Global
  Depository receipts, American Depository
  Receipts and International Depository
  Receipts.",Unit 4 : Entrepreneurship As Innovation and Problem Solving ,Explanation and discussion,Concept of Social Entrepreneurship ,Introduction to Python Libraries,Discussion on libraries like Pandas and Matplotlib,Understand purpose of libraries,,,
"SEPTEMBER 2025
(21 DAYS)",1,Revision for Term-1 Examination ,,,,,,,,,Revision for Term-1 Examination ,,,,,,Unit 5 : Understanding the Market ,Explanation and discussion,Scan Market Environment ,Series in Pandas,Create Series from ndarray/dictionary,Create and manipulate Series,,,
,2,Revision for Term-1 Examination ,,,,,,,,,Revision for Term-1 Examination ,,,"Ch 7 : Borrowed funds: debentures and bonds, loan from
  financial institution and commercial banks, public
  deposits, trade credit","Explanation , Discussion, Reading","Understand the concept and need of
  Debenture and shares.",Unit 5 : Understanding the Market ,Explanation and discussion,Conduct Market Research ,Operations on Series,"Use head(), tail(), indexing, slicing",Apply operations on Series,,,
,3,Term -1 Examination,,,,,,,,,Term -1 Examination,,,"Ch 8 :Entrepreneurship Development (ED): Concept and
  Need. Process of Entrepreneurship Development:
  Start-up India Scheme, ways to fund startup.
  Intellectual Property Rights and Entrepreneurship","Explanation , Discussion, Reading","Understand the concept and need of
  Entrepreneurship Development (ED),
  Intellectual Property Rights
  ● Understand the process of Entrepreneurship
  Development",Unit 5 : Understanding the Market ,Explanation and discussion,Conduct Market Research ,DataFrames: Introduction,Create DataFrames from dict and list,Understand structure of DataFrames,,,
,4,Term -1 Examination,,,,,,,,,Term -1 Examination,,,"Ch 8 :Entrepreneurship Development (ED): Concept and
  Need. Process of Entrepreneurship Development:
  Start-up India Scheme, ways to fund startup.
  Intellectual Property Rights and Entrepreneurship","Explanation , Discussion, Reading","Understand the concept and need of
  Entrepreneurship Development (ED),
  Intellectual Property Rights
  ● Understand the process of Entrepreneurship
  Development",Unit 5 : Understanding the Market ,Explanation and discussion,Know elements of Marketing Mix ,Operations on DataFrames,Add/delete/select/rename columns,Modify and manage DataFrames,,,
,5,Term -1 Examination,,,,,,,,,Term -1 Examination,,,REVISION FOR TERM1 EXAM,,,Unit 5 : Understanding the Market ,Explanation and discussion,Know elements of Marketing Mix ,Indexing in DataFrames,Boolean indexing and label selection,Use indexing techniques,,,
"OCTOBER 2025 
(19 DAYS)",1,Debate,"Explanation, Discussion & Presentation",-will be able to understand various aspects of debating - will be able to prove their point on the bases of facts and reasons,,,,,,,"Financial Statements: •	Meaning Objectives and Importance
•	Revenue and Capital Receipts/Expenditure
•	Deferred Revenue expenditure
•	Opening Journal Entries",Lecture and  Demonstration,"Students will be able to undrstand and draft the Trading, Profit and Loss Account of an enterprise will given data. They will also be able to acertain the Gross/Operating/Net profits of an enterprise (Sole Proprietorship). They will be able to daft the Balance Sheet on their own with given data.",TERM 1,TERM 1,TERM 1,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Unit Cost analysis ,MID TERM EXAM ,,,,,
,2,Poem5: Father to Son,"Reading, Explanation & Discussion",-relationships between a father and son - will be able to develop a strong relationship based on love and understand,,,,,,,"Trading & P/L A/c: •	Gross Profit
•	Operating Profit
•	Net Profit
",Lecture and  Demonstration,"Students will be able to undrstand and draft the Trading, Profit and Loss Account of an enterprise will given data. They will also be able to acertain the Gross/Operating/Net profits of an enterprise (Sole Proprietorship). They will be able to daft the Balance Sheet on their own with given data.",TERM 1,TERM 1,TERM 1,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Unit Cost analysis ,MID TERM EXAM,,,,,
,3,Ch5: Silk road(Hornbill),"Reading, Explanation & Discussion",- will know the ancient trade route of silk - life and culture of Tibetan people and the religious pilgrimage KORA - will know the difficulty and life threatening situations faced by people in mountains regions,,,,,,,"Balance Sheet: •	Need, grouping and marshaling of assets and liabilities",Lecture and  Demonstration,"Students will be able to undrstand and draft the Trading, Profit and Loss Account of an enterprise will given data. They will also be able to acertain the Gross/Operating/Net profits of an enterprise (Sole Proprietorship). They will be able to daft the Balance Sheet on their own with given data.","Ch 8 :Small scale enterprise – Definition
  Role of small business in India with special
  reference to rural areas","Explanation , Discussion, Reading","Understand the definition of small
  enterprises",Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Find Unit of sale ,Import/Export CSV files,Read and write CSV using pandas,Exchange data with files,,,
,4,Ch4: Birth(Snapshots),"Reading, Explanation & Discussion",-will be able understand the difference between the classroom learning and practical wisdom -duty and responsibilities of a doctor - will have respect for medical workers ,,,,,,,Financial Statements: With Adjustments,Lecture and  Demonstration,"Students will be able to undrstand and draft the Trading, Profit and Loss Account of an enterprise will given data. They will also be able to acertain the Gross/Operating/Net profits of an enterprise (Sole Proprietorship). They will be able to daft the Balance Sheet on their own with given data.",Ch 8:Government schemes and agencies for small scale industries: National Small Industries Corporation,"Explanation , Discussion, Reading",Understand the different government scheme.,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Find Unit of sale ,Import/Export CSV files,"Read and write CSV using pandas, Practical on IDLE",Exchange data with files,,,
,5,Ch5: The tale of Melon city(Snapshots),"Reading, Explanation & Discussion",- will know the outcomes of foolishness - duty of counsellors - consequences of flattery and lazyness and strategies to maintain law and peace in a state,,,,,,,Financial Statements: With Adjustments,Lecture and  Demonstration,"Students will be able to undrstand and draft the Trading, Profit and Loss Account of an enterprise will given data. They will also be able to acertain the Gross/Operating/Net profits of an enterprise (Sole Proprietorship). They will be able to daft the Balance Sheet on their own with given data.","Ch 8 : (NSIC) and District Industrial Centre (DIC) with special reference to rural, backward areas","Explanation , Discussion, Reading",Understand the concept of NSIC & DIC and its objectives.,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Solve Unit Price,Data Visualization: Introduction,Use line/bar/histogram,Create basic plots with matplotlib,,,
"NOVEMBER 2025 
(24 DAYS)",1,Transformation of Sentences,Explanation & Practice,-will be able to transfrom different type of sentences - will know techniques to express ideas in various ways without changing the meaning,,,,,,,Financial Statements: With Adjustments,Lecture and  Demonstration,"Students will be able to undrstand and draft the Trading, Profit and Loss Account of an enterprise will given data. They will also be able to acertain the Gross/Operating/Net profits of an enterprise (Sole Proprietorship). They will be able to daft the Balance Sheet on their own with given data.","Ch 9 Internal trade - meaning and types of services
  rendered by a wholesaler and a retailer","Explanation , Discussion, Reading","State the meaning and types of internal
  trade.
  ● Appreciate the services of wholesalers and
  retailers.",Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Find Unit of sale ,Data Visualization: Introduction,"Use line/bar/histogram, Practical on IDLE",Create basic plots with matplotlib,,,
,2,Clauses - Intro & References,Explanation & Practice,- will know clause and its types,,,,,,,Financial Statements: With Adjustments,Lecture and  Demonstration,"Students will be able to undrstand and draft the Trading, Profit and Loss Account of an enterprise will given data. They will also be able to acertain the Gross/Operating/Net profits of an enterprise (Sole Proprietorship). They will be able to daft the Balance Sheet on their own with given data.","Ch 9 Large scale retailers-Departmental stores, chain
  stores – concept","Explanation , Discussion, Reading","State the meaning and types of large scale retailers
  trade.",Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Know Components of Cost ,Customize plots,"Add title, labels, legend",Enhance visualizations,,,
,3,Structures & Patterns of Clsudes,Explanation & Practice,-will understand different clause and itsstructures,,,,,,,Financial Statements: With Adjustments,Lecture and  Demonstration,"Students will be able to undrstand and draft the Trading, Profit and Loss Account of an enterprise will given data. They will also be able to acertain the Gross/Operating/Net profits of an enterprise (Sole Proprietorship). They will be able to daft the Balance Sheet on their own with given data.","Ch 10 International trade: concept , benefits , and needs","Explanation , Discussion, Reading","Understand the concept of international trade.
  ● Describe the benefit of international trade to
  the nation and business firms.",Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Know Components of Cost ,Customize plots,"Add title, labels, legend, Practical on IDLE",Enhance visualizations,,,
,4,"Noun, Adjective & Adverb Clauses",Explanation & Practice,-will be able to form different clauses -languanges enhancement - will express their ideas ina better way,,,,,,,Financial Statements: With Adjustments,Lecture and  Demonstration,"Students will be able to undrstand and draft the Trading, Profit and Loss Account of an enterprise will given data. They will also be able to acertain the Gross/Operating/Net profits of an enterprise (Sole Proprietorship). They will be able to daft the Balance Sheet on their own with given data.","Ch 10 : International trade: Import and export ,
 International document","Explanation , Discussion, Reading","Understand the concept of import and export 
  ●They can Describe the benefit of import and export business.",Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Find Break Even of Single Product ,Practical Work,Implement learned concepts in lab,Apply concepts practically,,,
,5,Revision for PT-2,,,,,,,,,Revision for PT-2,,,,,,Unit 6 : Business Finance and Arithmetic ,Numericals Solving ,Find Break Even of Single Product ,Revision ,,,,,
"DECEMBER 2025
(21 DAYS)",1,Revision for PT-2,,,,,,,,,Revision for PT-2,,,"Ch 10 International trade: concept , benefits , and needs","Explanation , Discussion, Reading","Understand the concept of international trade.
  ● Describe the benefit of international trade to
  the nation and business firms.",Unit 7 : Resource Mobilization ,Explanation and discussion,"Type of Resource - Physical, Human, Financial etc",Introduction  Of IP,Role and importance/ Application areas of CS in future,Students will understand the importance and future with this subject,,,
,2,Revision for PT-2,,,,,,,,,Revision for PT-2,,,"Ch 10 : International trade: Import and export ,
 International document","Explanation , Discussion, Reading","Understand the concept of import and export 
  ●They can Describe the benefit of import and export business.",Unit 7 : Resource Mobilization ,Explanation and discussion,"Type of Resource - Physical, Human, Financial etc",Introduction of SQL ,DBMS and RDBMS,Students will understand the use of SQL in DBMS,,,
,3,PT-2 Examination,,,,,,,,,PT-2 Examination,,,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,"Type of Resource - Physical, Human, Financial etc",SQL Basics,Session: Introduction to databases and SQL,Understand database concepts and SQL syntax.,,,
,4,PT-2 Examination,,,,,,,,,PT-2 Examination,,,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,Selection of Human Resource,SQL Queries,"Session: SELECT, INSERT, UPDATE, DELETE statements",Retrieve and manipulate data in databases.,,,
,5,PT-2 Examination,,,,,,,,,PT-2 Examination,,,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,Selection of Human Resource,SQL Queries,"Session: SELECT, INSERT, UPDATE, DELETE statements",Retrieve and manipulate data in databases.,,,
"JANUARY 2026
 (14 DAYS)",1,Revision for annual examination ,,,,,,,,,Revision for annual examination ,,,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,Selection of Human Resource,SQL Queries,Fetching data from database using various condition ,Retrieve and manipulate data in databases.,,,
,2,Revision for annual examination ,,,,,,,,,Revision for annual examination ,,,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,Utilisation of Human Resource ,SQL Queries,Fetching data from database using various condition ,Retrieve and manipulate data in databases.,,,
,3,Revision for annual examination ,,,,,,,,,Revision for annual examination ,,,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,Utilisation of Human Resource ,Import/Export CSV files,Read and write CSV using pandas,Exchange data with files,,,
,4,,,,,,,,,,,,,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,"Use by Auditor, lawyer, Acc.etc",Import/Export CSV files,"Read and write CSV using pandas, Practical on IDLE",Exchange data with files,,,
,5,,,,,,,,,,,,,,,,Unit 7 : Resource Mobilization ,Explanation and discussion,"Use by Auditor, lawyer, Acc.etc",Data Visualization: Introduction,Use line/bar/histogram,Create basic plots with matplotlib,,,
